"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS"
"6255","/home/david/Música/Bioacustica/2015/JSC5069/20151212/JSC5069__0__20151212_000000.wav",0.8908502,0.89384989,0.3870115,0.9769056,0.009202454,0.6656936,0.041033420,0.000249718,0.11633174,0.3846795,0.5845078,0.9389100,0.9247978,0.91213181,0.912857865,0.834246010,0.84106941,0.797306530,0.78302806,0.87230496,0, 0,"g","12/JSC5069__0_",   7.067299,   7.816009,   8.285605,   8.239245,   8.669823,   9.818051,   1.000000
"6256","/home/david/Música/Bioacustica/2015/JSC5069/20151212/JSC5069__0__20151212_001000.wav",0.8915581,0.87795386,0.3866934,0.9732956,0.003067485,0.6663201,0.047368719,0.000255432,0.11234533,0.3862660,0.5761678,0.9445934,0.9350597,0.93388059,0.877818814,0.836941013,0.82604450,0.789806621,0.75546557,0.88528861,0, 0,"g","12/JSC5069__0_",   7.148539,   7.937456,   8.747152,   8.481634,   9.722533,  10.718500,   2.000000
"6257","/home/david/Música/Bioacustica/2015/JSC5069/20151212/JSC5069__0__20151212_002000.wav",0.8914983,0.87973294,0.3898978,0.9755258,0.006134969,0.6649861,0.040086178,0.000273661,0.11335771,0.3845290,0.5963308,0.9557772,0.9223218,0.95335172,0.852656789,0.847230315,0.77081753,0.720115178,0.76377578,0.89739131,0, 0,"g","12/JSC5069__0_",   8.936855,   9.414685,   9.818485,   9.813801,  10.182214,  10.762841,   3.000000
"6258","/home/david/Música/Bioacustica/2015/JSC5069/20151212/JSC5069__0__20151212_003000.wav",0.8919134,0.90016742,0.3863945,0.9759339,0.006134969,0.6539437,0.042468185,0.000250965,0.11328794,0.3842266,0.5988696,0.9552050,0.9495310,0.91740440,0.872926101,0.795962399,0.77419154,0.744037505,0.70825182,0.86835078,0, 0,"g","12/JSC5069__0_",   8.725901,   9.375578,   9.744510,   9.800437,  10.175016,  10.762841,   4.000000
"6259","/home/david/Música/Bioacustica/2015/JSC5069/20151212/JSC5069__0__20151212_005000.wav",0.8912512,0.91115687,0.3824813,0.9779345,0.012269939,0.6579309,0.039723132,0.000749592,0.11534661,0.3834040,0.6323192,0.9207977,0.8622363,0.83363488,0.799176316,0.818039519,0.77560053,0.753784470,0.70501335,0.83802342,0, 0,"g","12/JSC5069__0_",   8.274019,   9.330699,   9.700528,   9.796767,  10.172455,  10.771015,   5.000000
"6260","/home/david/Música/Bioacustica/2015/JSC5069/20151212/JSC5069__0__20151212_010000.wav",0.8909435,0.90136510,0.3880682,0.9689227,0.024539877,0.6596623,0.052379592,0.000296314,0.10533976,0.3855655,0.5830843,0.9500582,0.9154940,0.93865566,0.825251898,0.824313376,0.80812338,0.737886981,0.76180189,0.82281761,0, 1,"g","12/JSC5069__0_",   7.443983,   8.550278,   9.325740,   9.554217,  10.100038,  10.771124,   6.000000
"6261","/home/david/Música/Bioacustica/2015/JSC5069/20151212/JSC5069__0__20151212_011000.wav",0.8915608,0.92126162,0.3896670,0.9726759,0.027607362,0.6577693,0.043531102,0.000290243,0.10869760,0.3852014,0.6031907,0.9511659,0.8985348,0.93284222,0.860008890,0.799818751,0.69719795,0.648754121,0.69738642,0.86147843,0, 1,"g","12/JSC5069__0_",   8.636725,   9.375578,   9.758046,   9.802481,  10.179872,  10.750593,   7.000000
"6262","/home/david/Música/Bioacustica/2015/JSC5069/20151212/JSC5069__0__20151212_012000.wav",0.8906269,0.73452416,0.3901800,0.9747940,0.012269939,0.6643781,0.040348231,0.000359399,0.10870315,0.3842289,0.5964450,0.9331659,0.9138114,0.88887692,0.852702790,0.825681082,0.74947428,0.741773697,0.75186789,0.70622969,0, 1,"g","12/JSC5069__0_",   8.397846,   9.331362,   9.713661,   9.783567,  10.176668,  10.750593,   8.000000
"6263","/home/david/Música/Bioacustica/2015/JSC5069/20151212/JSC5069__0__20151212_013000.wav",0.8922582,0.70358047,0.3868486,0.9781901,0.006134969,0.6690693,0.035348363,0.000400974,0.11355938,0.3840523,0.4852130,0.9470977,0.9223515,0.90560884,0.831249160,0.813301350,0.71043515,0.713731789,0.77659779,0.68266710,0, 1,"g","12/JSC5069__0_",   8.199501,   9.303835,   9.674440,   9.767741,  10.177954,  10.785531,   9.000000
"6264","/home/david/Música/Bioacustica/2015/JSC5069/20151212/JSC5069__0__20151212_015000.wav",0.8920543,0.90871358,0.3877133,0.9754898,0.024539877,0.6578303,0.044900025,0.000255913,0.10917609,0.3803312,0.5994901,0.9349709,0.9101303,0.91333891,0.837110605,0.787543400,0.74277099,0.761413154,0.71571810,0.87271459,0, 1,"g","12/JSC5069__0_",   8.749378,   9.379960,   9.752259,   9.801349,  10.173112,  10.759398,  10.000000
"6265","/home/david/Música/Bioacustica/2015/JSC5069/20151212/JSC5069__0__20151212_021000.wav",0.8917178,0.86827991,0.3938288,0.9725916,0.030674847,0.6641038,0.045545254,0.000244766,0.10346953,0.3831601,0.5509972,0.9650667,0.9289451,0.92373113,0.843582728,0.836122001,0.73857852,0.716781684,0.79800041,0.86132906,0, 2,"g","12/JSC5069__0_",   8.715167,   9.375578,   9.761925,   9.801784,  10.177872,  10.759398,  11.000000
"6266","/home/david/Música/Bioacustica/2015/JSC5069/20151212/JSC5069__0__20151212_022000.wav",0.8917959,0.79974871,0.3861434,0.9805626,0.021472393,0.6521209,0.033399356,0.000300067,0.11475078,0.3796346,0.6238898,0.9631155,0.9375814,0.91878784,0.869731925,0.798025761,0.69857261,0.712241448,0.71674855,0.86608191,0, 2,"g","12/JSC5069__0_",   8.318770,   9.338137,   9.709514,   9.797249,  10.175016,  10.775295,  12.000000
"6267","/home/david/Música/Bioacustica/2015/JSC5069/20151212/JSC5069__0__20151212_023000.wav",0.8916701,0.79000749,0.3906975,0.9760409,0.012269939,0.6606295,0.038873296,0.000301249,0.10583880,0.3807420,0.6187023,0.9187115,0.9088824,0.91424123,0.884438627,0.766893903,0.70135527,0.680770736,0.78828624,0.81492148,0, 2,"g","12/JSC5069__0_",   8.335714,   9.346605,   9.713590,   9.797482,  10.182214,  10.783940,  13.000000
"6268","/home/david/Música/Bioacustica/2015/JSC5069/20151212/JSC5069__0__20151212_024000.wav",0.8922629,0.93438057,0.3945773,0.9744459,0.024539877,0.6587517,0.040489425,0.000268335,0.10392342,0.3793119,0.6033720,0.9531195,0.9289040,0.87829788,0.788607628,0.829053674,0.73624727,0.736074766,0.72149759,0.87183745,0, 2,"g","12/JSC5069__0_",   8.772466,   9.381751,   9.766199,   9.802944,  10.175016,  10.764440,  14.000000
"6269","/home/david/Música/Bioacustica/2015/JSC5069/20151212/JSC5069__0__20151212_025000.wav",0.8915249,0.85155725,0.3934785,0.9712629,0.024539877,0.6550661,0.044203766,0.000296652,0.10061995,0.3817010,0.5924407,0.9381064,0.9071701,0.90395104,0.849720422,0.788287356,0.76871461,0.672888597,0.76410679,0.70136069,0, 2,"g","12/JSC5069__0_",   8.709514,   9.367467,   9.749427,   9.797835,  10.176668,  10.740929,  15.000000
