"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS"
"24282","/media/microp/DavidDD/bioacustica/2017/302143/20170510/SM302143__0__20170510_000000.wav",0.8911105,0.9641818,0.5789767,0.9943467,0.000000000,0.6160468,0.026365170,0.001736531,0.3127684,0.5737524,0.2963473,0.9097578,0.9154520,0.81836268,0.87168982,0.869665309,0.79872443,0.84474808,0.815695752,0.845266160,1, 0,"c","0/SM302143__0_",   5.252336,   5.866545,   6.309913,   6.289390,   6.722508,   7.423150,   1.000000
"24283","/media/microp/DavidDD/bioacustica/2017/302143/20170510/SM302143__0__20170510_003000.wav",0.8918134,0.9626043,0.5690617,0.9948756,0.000000000,0.6259592,0.022932713,0.001355532,0.3143218,0.5653066,0.3259207,0.9575764,0.9278404,0.84863709,0.83672201,0.895388360,0.79356665,0.80232118,0.870978394,0.841905649,1, 0,"c","0/SM302143__0_",   5.326514,   5.877845,   6.327779,   6.301838,   6.728627,   7.429938,   2.000000
"24284","/media/microp/DavidDD/bioacustica/2017/302143/20170510/SM302143__0__20170510_004000.wav",0.8916964,0.9639004,0.5748155,0.9948849,0.000000000,0.6193415,0.021919545,0.017763127,0.3119863,0.5558422,0.4628604,0.8413961,0.9437656,0.86373052,0.80111820,0.912465840,0.81219515,0.78591825,0.869941047,0.890832891,1, 0,"c","0/SM302143__0_",   5.442929,   5.915722,   6.402341,   6.338567,   6.795839,   7.595051,   3.000000
"24285","/media/microp/DavidDD/bioacustica/2017/302143/20170510/SM302143__0__20170510_005000.wav",0.8915582,0.9667912,0.5391945,0.9940507,0.000000000,0.6267375,0.015138610,0.033235234,0.3051528,0.5596859,0.7335146,0.7167492,0.9340305,0.83199333,0.84520277,0.907634026,0.82347589,0.79741056,0.888152516,0.867404091,1, 0,"c","0/SM302143__0_",   5.252336,   5.895966,   6.437433,   6.361345,   6.868331,   7.857029,   4.000000
"24286","/media/microp/DavidDD/bioacustica/2017/302143/20170510/SM302143__0__20170510_010000.wav",0.8916297,0.9560291,0.5792991,0.9945783,0.000000000,0.6229341,0.023987501,0.001901269,0.3123518,0.5742483,0.4208139,0.9182689,0.9363248,0.81558344,0.88000260,0.911447778,0.83260939,0.80328636,0.863243024,0.905208223,1, 1,"c","0/SM302143__0_",   5.446036,   5.906940,   6.346765,   6.319602,   6.738906,   7.352577,   5.000000
"24287","/media/microp/DavidDD/bioacustica/2017/302143/20170510/SM302143__0__20170510_011000.wav",0.8907660,0.9687333,0.5635067,0.9933705,0.000000000,0.6324798,0.018084010,0.021240672,0.3016337,0.5744214,0.5775608,0.7986604,0.9547202,0.82611064,0.90839126,0.917003120,0.80741545,0.78662004,0.873986656,0.888432585,1, 1,"c","0/SM302143__0_",   5.446036,   5.919873,   6.414276,   6.341074,   6.802154,   7.637571,   6.000000
"24288","/media/microp/DavidDD/bioacustica/2017/302143/20170510/SM302143__0__20170510_012000.wav",0.8905817,0.9540639,0.5774066,0.9930828,0.000000000,0.6195148,0.031847829,0.001072756,0.3071076,0.5876426,0.4451303,0.9296364,0.9484656,0.80239012,0.83062837,0.916425694,0.83967977,0.80070566,0.807386730,0.886225100,1, 1,"c","0/SM302143__0_",   5.427853,   5.898366,   6.337739,   6.319602,   6.734801,   7.365922,   7.000000
"24289","/media/microp/DavidDD/bioacustica/2017/302143/20170510/SM302143__0__20170510_014000.wav",0.8929545,0.9671650,0.5682113,0.9930542,0.000000000,0.6230308,0.028531933,0.001555965,0.3037997,0.5911045,0.7191376,0.9143891,0.9551405,0.79890949,0.81363455,0.865047253,0.79223256,0.79606421,0.881979266,0.874950773,1, 1,"c","0/SM302143__0_",   5.441416,   5.900111,   6.345137,   6.322040,   6.744287,   7.365922,   8.000000
"24290","/media/microp/DavidDD/bioacustica/2017/302143/20170510/SM302143__0__20170510_015000.wav",0.8910728,0.9595278,0.5647818,0.9923735,0.000000000,0.6270159,0.032075547,0.001375870,0.3019877,0.5952921,0.6933986,0.9258436,0.9648315,0.82796731,0.82608019,0.887069386,0.79823841,0.84841484,0.880298743,0.918063253,1, 1,"c","0/SM302143__0_",   5.444469,   5.904234,   6.347044,   6.318932,   6.743266,   7.365922,   9.000000
"24291","/media/microp/DavidDD/bioacustica/2017/302143/20170510/SM302143__0__20170510_021000.wav",0.8910123,0.9475117,0.5935203,0.9906901,0.000000000,0.6248244,0.036770557,0.001133202,0.2983396,0.6117210,0.6957427,0.8987481,0.9690746,0.78428105,0.89264307,0.897447915,0.79819674,0.80158281,0.875808403,0.884483122,1, 2,"c","0/SM302143__0_",   5.445526,   5.906940,   6.344081,   6.319602,   6.738906,   7.352577,  10.000000
