"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS"
"35544","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_000000.wav",0.89011604,0.9075501,0.4257628,0.9819605,0.15337423,0.6568427,0.03817222,0.000331322,0.08806001,0.3565988,0.5948361,0.9641233,0.9202230,0.763418618,0.8569169,0.6872622,0.706218735,0.71205314,0.75787159,0.80067137,2, 0,"b","ASILAR5071__0_2",  7.150440,  7.694167,  8.074952,  8.044252,  8.484053,  9.032153,  1.000000
"35545","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_001000.wav",0.89116679,0.8543887,0.4236059,0.9871226,0.15337423,0.6512117,0.03063560,0.000286049,0.09245797,0.3523320,0.6101764,0.9152608,0.9283988,0.897514445,0.8897293,0.7241506,0.743306751,0.78967377,0.75453645,0.80519390,2, 0,"b","ASILAR5071__0_2",  7.170924,  7.710440,  8.087735,  8.065065,  8.488599,  9.066439,  2.000000
"35546","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_002000.wav",0.89053408,0.9112316,0.4207891,0.9878134,0.15644172,0.6497514,0.02963930,0.000537919,0.09425255,0.3495994,0.5888050,0.9299625,0.8920732,0.863561436,0.8567142,0.6390572,0.819313509,0.78996042,0.79300575,0.82695941,2, 0,"b","ASILAR5071__0_2",  7.203651,  7.716759,  8.095793,  8.065065,  8.490505,  9.066439,  3.000000
"35547","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_003000.wav",0.89050594,0.8960191,0.4327408,0.9857186,0.15644172,0.6575630,0.03232740,0.000343059,0.09023729,0.3544252,0.5926496,0.9600121,0.9156200,0.817936724,0.8317145,0.6843072,0.783617371,0.81140792,0.75218091,0.85673637,2, 0,"b","ASILAR5071__0_2",  7.170924,  7.709319,  8.092851,  8.067944,  8.495764,  9.066439,  4.000000
"35548","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_004000.wav",0.89150132,0.9070622,0.4394572,0.9859332,0.15644172,0.6663375,0.02923188,0.000241838,0.08858403,0.3490084,0.5585599,0.9726818,0.9204017,0.876957390,0.8728365,0.7280140,0.877827169,0.80588722,0.74830896,0.89189913,2, 0,"b","ASILAR5071__0_2",  6.035128,  7.267603,  7.775434,  7.884215,  8.374681,  9.072301,  5.000000
"35549","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_010000.wav",0.89178017,0.9312037,0.4349136,0.9854098,0.15644172,0.6622161,0.02975258,0.000341095,0.08696863,0.3517347,0.5834736,0.9648111,0.9384830,0.929651260,0.8174326,0.6721657,0.820134026,0.78544777,0.76476848,0.84564385,2, 1,"b","ASILAR5071__0_2",  7.140294,  7.693059,  8.075043,  8.046863,  8.487622,  9.064062,  6.000000
"35550","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_011000.wav",0.89287148,0.9183144,0.4396346,0.9901246,0.15337423,0.6666842,0.02297644,0.000275868,0.09379022,0.3448635,0.6101310,0.9325290,0.9395619,0.953130825,0.8441541,0.7268804,0.860378420,0.82240726,0.81449596,0.84957600,2, 1,"b","ASILAR5071__0_2",  5.661006,  6.297928,  7.161835,  7.060253,  8.021325,  8.861907,  7.000000
"35551","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_012000.wav",0.89385391,0.7097170,0.4342818,0.9896514,0.15644172,0.6658299,0.02573922,0.000262573,0.09555225,0.3462004,0.6114579,0.9515618,0.9571815,0.966776624,0.8775899,0.7396065,0.825532740,0.82995905,0.81908173,0.86464103,2, 1,"b","ASILAR5071__0_2",  5.844872,  6.826309,  7.542626,  7.709085,  8.252644,  8.949139,  8.000000
"35552","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_013000.wav",0.89371904,0.7912072,0.4312132,0.9894450,0.15644172,0.6641640,0.02603624,0.000318164,0.09415322,0.3455607,0.6121200,0.9602471,0.9476027,0.941503090,0.8598787,0.6912789,0.805798197,0.81990885,0.77830155,0.78199211,2, 1,"b","ASILAR5071__0_2",  5.919621,  7.045391,  7.651519,  7.820797,  8.330352,  8.982332,  9.000000
"35553","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_015000.wav",0.89285741,0.9110484,0.4330193,0.9894712,0.15950920,0.6538466,0.02531617,0.000303663,0.09187265,0.3484816,0.6189651,0.9564064,0.9172020,0.938923022,0.8635230,0.7284716,0.842397281,0.81923237,0.80335513,0.89663061,2, 1,"b","ASILAR5071__0_2",  5.677832,  6.367233,  7.237975,  7.233652,  8.067741,  8.861907, 10.000000
"35554","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_020000.wav",0.89280950,0.9211936,0.4368376,0.9894783,0.15950920,0.6561933,0.02455711,0.000324650,0.09068468,0.3446111,0.6261626,0.9566602,0.9365914,0.905179438,0.8131664,0.7092828,0.846098530,0.79149709,0.81819911,0.91530226,2, 2,"b","ASILAR5071__0_2",  5.712584,  6.454603,  7.350123,  7.441878,  8.174064,  8.922607, 11.000000
"35555","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_021000.wav",0.89275514,0.9197862,0.4338589,0.9886138,0.15950920,0.6598717,0.02752016,0.000296228,0.09305326,0.3474411,0.6186931,0.9385828,0.9389160,0.948985193,0.8242052,0.7208330,0.872259740,0.74712141,0.77784751,0.89562123,2, 2,"b","ASILAR5071__0_2",  7.120355,  7.693752,  8.070533,  8.047943,  8.487622,  9.034688, 12.000000
"35556","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_022000.wav",0.89190500,0.8907564,0.4329803,0.9886763,0.16257669,0.6611533,0.02740868,0.000264022,0.09011798,0.3472999,0.6184504,0.9438211,0.9613447,0.943789300,0.8549077,0.7261742,0.839169644,0.77849711,0.73014131,0.86488029,2, 2,"b","ASILAR5071__0_2",  7.207660,  7.722411,  8.100204,  8.067944,  8.493152,  9.066439, 13.000000
"35557","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_023000.wav",0.89176360,0.8530329,0.4365275,0.9885798,0.16257669,0.6562332,0.02692946,0.000260100,0.08767245,0.3480687,0.6076720,0.9670276,0.9412483,0.910709525,0.8262770,0.6812828,0.834437625,0.86946664,0.75803807,0.89235382,2, 2,"b","ASILAR5071__0_2",  5.677832,  6.389346,  7.264340,  7.257140,  8.093727,  8.902610, 14.000000
"35558","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_024000.wav",0.89186648,0.8763378,0.4377228,0.9888182,0.15950920,0.6605584,0.02632233,0.000242501,0.08831039,0.3470578,0.6213204,0.9532355,0.9743180,0.937258707,0.8292570,0.7005412,0.863674806,0.85675806,0.80563157,0.82037768,2, 2,"b","ASILAR5071__0_2",  5.690835,  6.366224,  7.241200,  7.223554,  8.076823,  8.878488, 15.000000
"35559","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_025000.wav",0.89160080,0.8735212,0.4263508,0.9869067,0.15644172,0.6545348,0.02665455,0.000242965,0.09128440,0.3483299,0.6231432,0.9426105,0.9136189,0.913581263,0.9040529,0.7034801,0.826804843,0.83807882,0.72868426,0.83294002,2, 2,"b","ASILAR5071__0_2",  6.784530,  7.606228,  8.014918,  8.024041,  8.488599,  9.116044, 16.000000
"35560","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_031000.wav",0.89133907,0.8629258,0.4421430,0.9879259,0.15950920,0.6572013,0.02680394,0.000249713,0.08370379,0.3503832,0.6408454,0.9636510,0.9586861,0.904596232,0.8434431,0.7438087,0.877568724,0.80850798,0.78633275,0.87274658,2, 3,"b","ASILAR5071__0_2",  5.698419,  6.406406,  7.287222,  7.292953,  8.126204,  8.878488, 17.000000
"35561","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_032000.wav",0.89067045,0.9182526,0.4411650,0.9845181,0.15950920,0.6571087,0.03231600,0.000265687,0.07951523,0.3537041,0.6245566,0.9512999,0.9308967,0.889969546,0.8347965,0.7313032,0.855868059,0.72569631,0.79436678,0.84759579,2, 3,"b","ASILAR5071__0_2",  7.185775,  7.710511,  8.092667,  8.065065,  8.490505,  9.066439, 18.000000
"35562","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_033000.wav",0.89165706,0.8324849,0.4371170,0.9783691,0.15644172,0.6534651,0.04624887,0.000325211,0.07810217,0.3621988,0.6150500,0.8945062,0.8533211,0.859864977,0.7950978,0.7008101,0.868183998,0.76630987,0.77915232,0.64141695,2, 3,"b","ASILAR5071__0_2",  6.795733,  7.635656,  8.090585,  8.100043,  8.565695,  9.284632, 19.000000
"35563","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_040000.wav",0.89080718,0.8649759,0.4336049,0.9752266,0.15337423,0.6404406,0.05404089,0.000212657,0.08194980,0.3699248,0.5986962,0.9393857,0.8758365,0.897874333,0.8011950,0.7435128,0.880400238,0.75781537,0.80363827,0.82425929,2, 4,"b","ASILAR5071__0_2",  6.844947,  7.630462,  8.012339,  8.014042,  8.460014,  9.066439, 20.000000
"35564","/home/david/Música/Bioacustica/2016/5071/20160305/BRASILAR5071__0__20160305_042000.wav",0.89025804,0.8103993,0.4378488,0.9696821,0.15030675,0.6462465,0.06102686,0.001106641,0.07418449,0.3672277,0.5940300,0.8661560,0.7156431,0.703952750,0.7536412,0.6900241,0.611190022,0.71503237,0.64869721,0.70477947,2, 4,"b","ASILAR5071__0_2",  7.015256,  7.647924,  8.034557,  8.033353,  8.460014,  9.069936, 21.000000
