"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS"
"13000","/home/david/Música/Bioacustica/2016/5071/20160407/PCBP5071__0__20160407_000000.wav",0.8914116,0.8925297,0.3957281,0.52349178,0.877300613,0.6300258,0.235797751,0.000358163,0.05611303,0.3960372,0.5451631,0.8684750,0.6772635,0.4837900,0.8089005,0.63765404,0.916146798,0.80092675,0.40289043,0.801912042,1, 0,"c","7/PCBP5071__0_",  4.428074,  5.208917,  6.240983,  6.101567,  6.986267,  8.966041,  1.000000
"13001","/home/david/Música/Bioacustica/2016/5071/20160407/PCBP5071__0__20160407_002000.wav",0.8893291,0.9554476,0.3962469,0.52820286,0.803680982,0.6212748,0.168199641,0.000201379,0.05247086,0.3921711,0.5457314,0.9062663,0.7058560,0.5788966,0.8480169,0.70022622,0.867711294,0.75424118,0.30184863,0.789395968,1, 0,"c","7/PCBP5071__0_",  4.522498,  5.298248,  6.422720,  6.254487,  7.142527,  9.272597,  2.000000
"13002","/home/david/Música/Bioacustica/2016/5071/20160407/PCBP5071__0__20160407_003000.wav",0.8925546,0.9150774,0.3911437,0.45922979,0.653374233,0.6402126,0.194679524,0.000194815,0.05918122,0.4101261,0.5502854,0.8770426,0.6964562,0.7264776,0.8842370,0.77180297,0.849063015,0.73731271,0.38113674,0.780760977,1, 0,"c","7/PCBP5071__0_",  4.539855,  5.324660,  6.459229,  6.276943,  7.172310,  9.343132,  3.000000
"13003","/home/david/Música/Bioacustica/2016/5071/20160407/PCBP5071__0__20160407_004000.wav",0.8889075,0.9393790,0.4051428,0.49490666,0.506134969,0.6269866,0.176631860,0.000507553,0.05099308,0.3982100,0.5440110,0.9244016,0.7579895,0.8047777,0.8768709,0.69811105,0.860539708,0.76185929,0.31022709,0.796645320,1, 0,"c","7/PCBP5071__0_",  4.541110,  5.335491,  6.453203,  6.298770,  7.167129,  9.255906,  4.000000
"13004","/home/david/Música/Bioacustica/2016/5071/20160407/PCBP5071__0__20160407_005000.wav",0.8877729,0.9569643,0.4085402,0.47508822,0.619631902,0.6233380,0.192000404,0.000314816,0.04636975,0.3911554,0.5418526,0.8876776,0.7422277,0.7211671,0.7957928,0.65839911,0.857864411,0.79123184,0.32587783,0.866746514,1, 0,"c","7/PCBP5071__0_",  4.538719,  5.330805,  6.461852,  6.293507,  7.172310,  9.401207,  5.000000
"13005","/home/david/Música/Bioacustica/2016/5071/20160407/PCBP5071__0__20160407_010000.wav",0.8869691,0.9592879,0.4215792,0.37886412,0.555214724,0.6297732,0.227603054,0.000310747,0.04292258,0.3935718,0.5446525,0.8972905,0.6776853,0.7912236,0.8279173,0.67803200,0.871026652,0.81736251,0.75869647,0.878159036,1, 1,"c","7/PCBP5071__0_",  5.653924,  6.132126,  6.563220,  6.532337,  6.963774,  7.571221,  6.000000
"13006","/home/david/Música/Bioacustica/2016/5071/20160407/PCBP5071__0__20160407_011000.wav",0.8877995,0.9370499,0.4221307,0.46976312,0.533742331,0.6303143,0.203344840,0.000151777,0.04437341,0.3938990,0.5382131,0.9063853,0.7849571,0.7955427,0.7757746,0.61156909,0.913546273,0.84698289,0.80358303,0.889646266,1, 1,"c","7/PCBP5071__0_",  5.668364,  6.134340,  6.574360,  6.545605,  6.977223,  7.581452,  7.000000
"13007","/home/david/Música/Bioacustica/2016/5071/20160407/PCBP5071__0__20160407_012016.wav",0.8243377,0.9616734,0.4259594,0.45085683,0.414070009,0.6602405,0.250932530,0.000201383,0.04489649,0.3977634,0.5460860,0.9261898,0.7894258,0.8825802,0.8737543,0.67504845,0.890812053,0.86320846,0.70314002,0.946943182,1, 1,"c","7/PCBP5071__0_",  5.602714,  6.127469,  6.554913,  6.533285,  6.958859,  7.565357,  8.000000
"13008","/home/david/Música/Bioacustica/2016/5071/20160407/PCBP5071__0__20160407_013000.wav",0.8896082,0.9139593,0.4234440,0.43910297,0.429447853,0.6505916,0.264332542,0.000206824,0.04531897,0.3985962,0.5483950,0.9466341,0.7835386,0.8332299,0.8675498,0.72421839,0.883939520,0.82955799,0.77692458,0.920096232,1, 1,"c","7/PCBP5071__0_",  5.688995,  6.133555,  6.556742,  6.532186,  6.954825,  7.540844,  9.000000
"13009","/home/david/Música/Bioacustica/2016/5071/20160407/PCBP5071__0__20160407_014000.wav",0.8892896,0.9532352,0.4311298,0.44644475,0.407975460,0.6579076,0.275685066,0.000143256,0.04495665,0.4013990,0.5590654,0.9193074,0.8443239,0.9032560,0.8801927,0.74695523,0.878450836,0.83514870,0.78059693,0.920907575,1, 1,"c","7/PCBP5071__0_",  5.689598,  6.135577,  6.556774,  6.532337,  6.954825,  7.538769, 10.000000
"13010","/home/david/Música/Bioacustica/2016/5071/20160407/PCBP5071__0__20160407_020000.wav",0.8997172,0.6182470,0.3488677,0.49901190,0.107361963,0.6946174,0.178142113,0.000166080,0.13706877,0.4951480,0.5481483,0.9598172,0.8733636,0.8764780,0.8795968,0.72761624,0.856335199,0.83729097,0.56177601,0.295401442,1, 2,"c","7/PCBP5071__0_",  4.130366,  5.322318,  6.166991,  6.201835,  6.898669,  8.179495, 11.000000
"13011","/home/david/Música/Bioacustica/2016/5071/20160407/PCBP5071__0__20160407_022000.wav",0.8978990,0.7494324,0.3880288,0.56537013,0.211656442,0.6891265,0.260618718,0.000249925,0.08730404,0.4464027,0.5474105,0.9474203,0.8797960,0.8638085,0.8532415,0.76135745,0.874858955,0.73437029,0.53177373,0.308667382,1, 2,"c","7/PCBP5071__0_",  4.195481,  5.319153,  6.175472,  6.204656,  6.898669,  8.313892, 12.000000
"13012","/home/david/Música/Bioacustica/2016/5071/20160407/PCBP5071__0__20160407_023000.wav",0.8903888,0.9570371,0.4316963,0.49479079,0.411042945,0.6627898,0.279581557,0.000206207,0.04444947,0.4020862,0.5571285,0.9762669,0.8734338,0.8832174,0.8401128,0.73564895,0.893200582,0.76947072,0.64138341,0.914935224,1, 2,"c","7/PCBP5071__0_",  5.682040,  6.132126,  6.552988,  6.532337,  6.955914,  7.538769, 13.000000
