"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS","Hidalgo_cluster"
"25539","/media/microp/DavidDD/bioacustica/2017/302151/20170510/SM302151__0__20170512_115000.wav",0.8802934,0.9266389,0.4408636,0.636843590,0.174846626,0.6264909,0.006971322,0.129853172,0.2393863,0.2916704,0.5941680,0.1226491,0.2897216,0.4358265,0.5741891,0.5914754,0.7701957,0.8506002,0.8241158,0.6780624,1,11,"c","0/SM302151__0_",  4.084298,  4.546255,  5.726445,  5.008178,  6.613154,  9.724310,  1.000000,"1"
"25540","/media/microp/DavidDD/bioacustica/2017/302151/20170510/SM302151__0__20170512_121000.wav",0.8821043,0.7372824,0.2378221,0.740243334,0.162576687,0.6469676,0.005983249,0.275793264,0.2703419,0.4461929,0.5899089,0.5289643,0.8857323,0.8799032,0.7020320,0.4983683,0.7379519,0.8635717,0.8534123,0.8130173,1,12,"c","0/SM302151__0_",  4.036701,  4.459212,  5.116487,  4.792296,  5.369565,  7.378817,  2.000000,"1"
"25541","/media/microp/DavidDD/bioacustica/2017/302151/20170510/SM302151__0__20170512_123000.wav",0.8833748,0.8361670,0.2609970,0.381578014,0.199386503,0.6536417,0.003465746,0.234511631,0.2580673,0.5466290,0.5754772,0.5031522,0.7679223,0.8625592,0.6752963,0.4011983,0.7309615,0.8693205,0.8691573,0.8385849,1,12,"c","0/SM302151__0_",  4.036701,  4.463938,  5.110769,  4.792296,  5.367667,  7.412364,  3.000000,"1"
"25542","/media/microp/DavidDD/bioacustica/2017/302151/20170510/SM302151__0__20170512_124000.wav",0.8839523,0.9499859,0.2863163,0.192334105,0.177914110,0.6548431,0.003323226,0.240081088,0.2515007,0.6200718,0.5782781,0.4024216,0.7176163,0.8111353,0.7785718,0.5193036,0.7000905,0.8107727,0.7741791,0.8887206,1,12,"c","0/SM302151__0_",  4.036701,  4.463938,  5.103989,  4.789798,  5.361723,  7.378627,  4.000000,"1"
"25543","/media/microp/DavidDD/bioacustica/2017/302151/20170510/SM302151__0__20170512_125000.wav",0.8854439,0.9285186,0.2775849,0.473342845,0.254601227,0.6700684,0.010758596,0.449289415,0.2475302,0.5623545,0.5622144,0.5116625,0.8297189,0.8391308,0.7501582,0.3506266,0.6973966,0.5666427,0.7142649,0.8898463,1,12,"c","0/SM302151__0_",  4.036701,  4.463938,  5.114483,  4.792998,  5.369565,  7.412364,  5.000000,"1"
"25544","/media/microp/DavidDD/bioacustica/2017/302151/20170510/SM302151__0__20170512_130000.wav",0.8858716,0.9073189,0.3987128,0.331126995,0.273006135,0.6696167,0.011378966,0.455718856,0.2438113,0.6210719,0.5720765,0.7091778,0.8629228,0.8986803,0.7619899,0.7902967,0.7102840,0.7999037,0.8103798,0.8844265,1,13,"c","0/SM302151__0_",  4.029451,  4.448877,  4.988139,  4.761862,  5.214621,  6.955602,  6.000000,"1"
"25545","/media/microp/DavidDD/bioacustica/2017/302151/20170510/SM302151__0__20170512_133000.wav",0.8872388,0.9308720,0.3291264,0.183925008,0.530674847,0.6861975,0.062770740,0.044218276,0.2430549,0.6634246,0.5534513,0.8645665,0.9421384,0.9390044,0.9826083,0.9593786,0.9453818,0.9703937,0.9783177,0.9505288,1,13,"c","0/SM302151__0_",  5.288787,  6.519658,  7.236295,  7.186670,  7.922636,  9.301847,  7.000000,"2"
"25546","/media/microp/DavidDD/bioacustica/2017/302151/20170510/SM302151__0__20170512_135000.wav",0.8870648,0.9317441,0.3243475,0.190131038,0.527607362,0.6879955,0.056629893,0.009335591,0.2365390,0.6462020,0.5548606,0.9174505,0.9255894,0.9618794,0.9391287,0.9467415,0.9235071,0.9545246,0.9314767,0.9718633,1,13,"c","0/SM302151__0_",  5.781739,  6.579855,  7.240634,  7.193726,  7.828506,  8.883797,  8.000000,"2"
"25547","/media/microp/DavidDD/bioacustica/2017/302151/20170510/SM302151__0__20170512_141000.wav",0.8869585,0.9312672,0.3131352,0.196300415,0.524539877,0.6886044,0.042256968,0.003529916,0.2153437,0.5861308,0.5585921,0.9518935,0.9771625,0.9626034,0.9342624,0.9778930,0.9420085,0.9231585,0.9389125,0.9538956,1,14,"c","0/SM302151__0_",  5.703809,  6.487993,  7.052384,  7.018868,  7.586909,  8.541844,  9.000000,"2"
"25548","/media/microp/DavidDD/bioacustica/2017/302151/20170510/SM302151__0__20170512_142000.wav",0.8873334,0.9309583,0.3115983,0.202173492,0.527607362,0.6884641,0.042787330,0.019811115,0.2179988,0.5874026,0.5505587,0.9104428,0.9478640,0.9498180,0.9276534,0.9481235,0.9526197,0.9596769,0.9422783,0.9517061,1,14,"c","0/SM302151__0_",  5.706940,  6.499345,  7.104135,  7.069769,  7.628728,  8.800090, 10.000000,"2"
"25549","/media/microp/DavidDD/bioacustica/2017/302151/20170510/SM302151__0__20170512_143000.wav",0.8875267,0.9305357,0.3113757,0.198615387,0.521472393,0.6882408,0.040805397,0.004886851,0.2149743,0.5852504,0.5571476,0.9053389,0.9098761,0.9668870,0.9726455,0.9764969,0.9303893,0.9024623,0.9231393,0.9428829,1,14,"c","0/SM302151__0_",  5.451513,  6.495753,  7.131476,  7.094330,  7.704176,  9.141331, 11.000000,"2"
"25550","/media/microp/DavidDD/bioacustica/2017/302151/20170510/SM302151__0__20170512_144000.wav",0.8878120,0.9310973,0.3089469,0.205554950,0.521472393,0.6877402,0.020144103,0.473301165,0.2097187,0.5699682,0.5600881,0.8547936,0.9639180,0.9423240,0.9723361,0.9854427,0.9481546,0.9326333,0.9490218,0.9648143,1,14,"c","0/SM302151__0_",  4.088444,  4.567038,  5.685095,  4.973915,  6.592687,  9.312456, 12.000000,"1"
"25551","/media/microp/DavidDD/bioacustica/2017/302151/20170510/SM302151__0__20170512_145000.wav",0.8876023,0.9302638,0.3059693,0.219601127,0.530674847,0.6877007,0.035023368,0.001062054,0.2059011,0.5543395,0.5434958,0.9702533,0.9458101,0.9596065,0.9345248,0.9481292,0.9517028,0.9590075,0.9535413,0.9609500,1,14,"c","0/SM302151__0_",  5.724800,  6.490594,  7.037412,  7.012284,  7.573894,  8.456437, 13.000000,"2"
"25552","/media/microp/DavidDD/bioacustica/2017/302151/20170510/SM302151__0__20170512_150000.wav",0.8873091,0.9308442,0.3047905,0.222781991,0.521472393,0.6878575,0.032395193,0.002500223,0.2045920,0.5485626,0.5425082,0.9310362,0.9620418,0.9514457,0.9620758,0.9630796,0.9264463,0.9259238,0.9180377,0.9607499,1,15,"c","0/SM302151__0_",  5.677584,  6.483786,  7.035888,  7.009783,  7.575647,  8.498097, 14.000000,"2"
