"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS","Hidalgo_cluster"
"15924","/media/microp/DavidDD/bioacustica/2016/302143/20161221/TM4-302143__0__20161221_000000.wav",0.8937839,0.7757460,0.3236635,0.9949707,0.012269939,0.6441985,0.033980716,0.003064851,0.3204514,0.5053334,0.4837807,0.8854429,0.93554169,0.86623633,0.83163355,0.83779274,0.83517712,0.63492472,0.7140991,0.6416818,0, 0,"g","TM4-302143__0_",  5.935925,  6.770216,  7.652573,  7.564049,  8.485992,  9.753213,  1.000000,"1"
"15925","/media/microp/DavidDD/bioacustica/2016/302143/20161221/TM4-302143__0__20161221_002000.wav",0.8936690,0.8443467,0.3385941,0.9872385,0.006134969,0.6388857,0.047842682,0.001253253,0.2992242,0.5424265,0.5884114,0.8859007,0.91313113,0.80003143,0.74833514,0.85875042,0.80016711,0.60924193,0.7753394,0.8537383,0, 0,"g","TM4-302143__0_",  6.415294,  7.458795,  8.141966,  8.153157,  8.820840,  9.896217,  2.000000,"2"
"15926","/media/microp/DavidDD/bioacustica/2016/302143/20161221/TM4-302143__0__20161221_004000.wav",0.8932643,0.7678909,0.3463396,0.9867621,0.000000000,0.6650137,0.049040647,0.002565633,0.2759299,0.5685824,0.4647346,0.8831754,0.92820490,0.87553764,0.84852567,0.81866344,0.79971651,0.55101209,0.8501707,0.8979289,0, 0,"g","TM4-302143__0_",  6.096760,  6.825001,  7.424871,  7.374023,  7.961229,  8.924286,  3.000000,"1"
"15927","/media/microp/DavidDD/bioacustica/2016/302143/20161221/TM4-302143__0__20161221_005000.wav",0.8943261,0.8532152,0.3535652,0.9882614,0.015337423,0.6608208,0.043662258,0.000943430,0.2863462,0.5511700,0.4900440,0.8941176,0.91603391,0.84234961,0.88571629,0.85735798,0.80323223,0.58436824,0.8204853,0.8762256,0, 0,"g","TM4-302143__0_",  6.096185,  6.850151,  7.435717,  7.389272,  7.974608,  8.920028,  4.000000,"1"
"15928","/media/microp/DavidDD/bioacustica/2016/302143/20161221/TM4-302143__0__20161221_010000.wav",0.8940310,0.7625488,0.3338607,0.9792386,0.012269939,0.6629371,0.056084611,0.002274727,0.2831584,0.5529068,0.4933853,0.8825864,0.95420407,0.84253660,0.85045882,0.83085330,0.79455028,0.51201552,0.7593617,0.8934737,0, 1,"g","TM4-302143__0_",  6.096185,  6.847573,  7.423955,  7.382575,  7.963606,  8.903126,  5.000000,"1"
"15929","/media/microp/DavidDD/bioacustica/2016/302143/20161221/TM4-302143__0__20161221_011000.wav",0.8945469,0.7740346,0.3346410,0.9923192,0.012269939,0.6548729,0.046172216,0.001799528,0.3018965,0.5330230,0.4864666,0.9376356,0.92537685,0.83855395,0.87435837,0.90069206,0.81870271,0.57143880,0.7552624,0.8927024,0, 1,"g","TM4-302143__0_",  6.096185,  6.847573,  7.424816,  7.385557,  7.963606,  8.892413,  6.000000,"1"
"15930","/media/microp/DavidDD/bioacustica/2016/302143/20161221/TM4-302143__0__20161221_012000.wav",0.8946746,0.7693051,0.3377996,0.9911741,0.006134969,0.6647103,0.044019139,0.001523972,0.2976547,0.5405238,0.5501266,0.8720817,0.93537333,0.83732520,0.88027511,0.86305578,0.82180657,0.58202564,0.7586603,0.9047009,0, 1,"g","TM4-302143__0_",  6.096185,  6.846489,  7.424629,  7.385557,  7.963606,  8.892413,  7.000000,"1"
"15931","/media/microp/DavidDD/bioacustica/2016/302143/20161221/TM4-302143__0__20161221_013000.wav",0.8948764,0.7768863,0.3327170,0.9935180,0.000000000,0.6617736,0.038916471,0.001367702,0.3049468,0.5235038,0.4845910,0.9205158,0.94864711,0.86888898,0.87082384,0.87180649,0.84600653,0.63911647,0.7855798,0.8877560,0, 1,"g","TM4-302143__0_",  6.099612,  6.851266,  7.430859,  7.389272,  7.968435,  8.903126,  8.000000,"1"
"15932","/media/microp/DavidDD/bioacustica/2016/302143/20161221/TM4-302143__0__20161221_014000.wav",0.8945640,0.7687974,0.3412661,0.9830344,0.006134969,0.6681912,0.049262414,0.001575970,0.2773240,0.5566175,0.5907685,0.8718847,0.94504000,0.84111307,0.88679704,0.88482122,0.71125848,0.58080304,0.8063478,0.8896213,0, 1,"g","TM4-302143__0_",  5.506964,  6.169208,  6.719741,  6.643601,  7.203324,  8.001011,  9.000000,"3"
"15933","/media/microp/DavidDD/bioacustica/2016/302143/20161221/TM4-302143__0__20161221_015000.wav",0.8937821,0.7041966,0.3559964,0.9844237,0.000000000,0.6708773,0.046291886,0.001085052,0.2730029,0.5745337,0.5584432,0.8904310,0.90758946,0.87987779,0.86921753,0.87528483,0.74326273,0.55605078,0.8278519,0.9332484,0, 1,"g","TM4-302143__0_",  5.508809,  6.183570,  6.754431,  6.681400,  7.238976,  8.078021, 10.000000,"3"
