"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS"
"1","/home/david/Música/Bioacustica/2015/3788/20151212/MIRAMEDI3788_20151212_000000.wav",0.8908245,0.8101791,0.5933897,0.9967496,0.061349693,0.6546084,0.05483327,0.198919355,0.5528490,0.3577465,0.4880354,0.77684738,0.7135528,0.6507766,0.88157288,0.81234242,0.75144937,0.782317017,0.77806746,0.7780656,0, 0,"g","2/MIRAMEDI3788",  7.932442,  8.545100,  8.980655,  8.946760,  9.385885, 10.118421,  1.000000
"2","/home/david/Música/Bioacustica/2015/3788/20151212/MIRAMEDI3788_20151212_001000.wav",0.8908820,0.8004807,0.5948659,0.9975862,0.052147239,0.6561821,0.04103132,0.193357643,0.5487757,0.3267510,0.4569415,0.54021478,0.5328190,0.5893607,0.86049701,0.85288949,0.78763622,0.789016229,0.78314099,0.8299009,0, 0,"g","2/MIRAMEDI3788",  7.848302,  8.509744,  8.911020,  8.915214,  9.298544, 10.003866,  2.000000
"3","/home/david/Música/Bioacustica/2015/3788/20151212/MIRAMEDI3788_20151212_003000.wav",0.8922394,0.7824364,0.6010253,0.9966512,0.055214724,0.6568862,0.04547745,0.097030890,0.5488408,0.3503851,0.5133683,0.81879888,0.8577720,0.8243182,0.84863136,0.80846185,0.79300810,0.757439720,0.82196099,0.8943931,0, 0,"g","2/MIRAMEDI3788",  7.805454,  8.429237,  8.865771,  8.868990,  9.290635,  9.941102,  3.000000
"4","/home/david/Música/Bioacustica/2015/3788/20151212/MIRAMEDI3788_20151212_004000.wav",0.8913027,0.7572078,0.6169251,0.9958791,0.055214724,0.6576791,0.05522749,0.161575159,0.5609259,0.3749068,0.5218096,0.84384811,0.7811439,0.7928632,0.80169021,0.82515739,0.83430431,0.738828722,0.83401562,0.8411999,0, 0,"g","2/MIRAMEDI3788",  7.805454,  8.429237,  8.865771,  8.868990,  9.290635,  9.941102,  4.000000
"5","/home/david/Música/Bioacustica/2015/3788/20151212/MIRAMEDI3788_20151212_005000.wav",0.8906990,0.7024725,0.6134831,0.9977170,0.027607362,0.6618185,0.03526246,0.023170308,0.5416094,0.3230111,0.4612150,0.89443616,0.8863345,0.8534807,0.87926694,0.85890063,0.82972550,0.818514710,0.81786619,0.9400435,0, 0,"g","2/MIRAMEDI3788",  7.795469,  8.429237,  8.904856,  8.880365,  9.332777, 10.068183,  5.000000
"6","/home/david/Música/Bioacustica/2015/3788/20151212/MIRAMEDI3788_20151212_010000.wav",0.8900857,0.7821801,0.6100921,0.9975846,0.055214724,0.6525861,0.03778082,0.174880693,0.5398784,0.3225561,0.4682564,0.74685705,0.7876039,0.5770530,0.80333452,0.80409817,0.82783997,0.870374759,0.80487339,0.8220073,0, 1,"g","2/MIRAMEDI3788",  7.848440,  8.506405,  8.994306,  8.946316,  9.406502, 10.348679,  6.000000
"7","/home/david/Música/Bioacustica/2015/3788/20151212/MIRAMEDI3788_20151212_012000.wav",0.8895504,0.8205804,0.6015402,0.9979610,0.055214724,0.6303185,0.03601125,0.167695040,0.5427209,0.3055158,0.4740195,0.58147920,0.6012882,0.5515674,0.78459009,0.76025097,0.67259865,0.826584178,0.74865225,0.7299836,0, 1,"g","2/MIRAMEDI3788",  7.893437,  8.516878,  8.916969,  8.917689,  9.297410,  9.985575,  7.000000
"8","/home/david/Música/Bioacustica/2015/3788/20151212/MIRAMEDI3788_20151212_013000.wav",0.8899326,0.7386505,0.6182842,0.9967337,0.067484663,0.6501836,0.04585793,0.037859532,0.5451028,0.3543811,0.4805160,0.85553829,0.8798719,0.8721242,0.84677325,0.88164157,0.83722562,0.849628974,0.81615887,0.9274369,0, 1,"g","2/MIRAMEDI3788",  7.795469,  8.423141,  8.903561,  8.878335,  9.324455, 10.098161,  8.000000
"9","/home/david/Música/Bioacustica/2015/3788/20151212/MIRAMEDI3788_20151212_015000.wav",0.8905749,0.8068772,0.6184992,0.9966578,0.030674847,0.6548084,0.04760178,0.065749219,0.5578833,0.3559863,0.5228397,0.81244934,0.7394755,0.6620599,0.79900848,0.84889852,0.78922924,0.855308993,0.78659298,0.8290972,0, 1,"g","2/MIRAMEDI3788",  7.813301,  8.440651,  8.887729,  8.877333,  9.309563, 10.042393,  9.000000
"10","/home/david/Música/Bioacustica/2015/3788/20151212/MIRAMEDI3788_20151212_021000.wav",0.8902151,0.6744733,0.6163264,0.9970477,0.039877301,0.6614064,0.04532155,0.062365906,0.5538078,0.3483011,0.4834322,0.91539058,0.8932227,0.8533555,0.84728946,0.87677238,0.90033335,0.840226636,0.83521495,0.9298975,0, 2,"g","2/MIRAMEDI3788",  7.798949,  8.432135,  8.918048,  8.884634,  9.339331, 10.163391, 10.000000
