"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS"
"14309","/home/david/Música/Bioacustica/2016/5072/20160214/GUAM5072__0__20160214_000000.wav",0.8931863,0.9486654,0.3767640,0.9282194,0.125766871,0.6807887,0.161354674,0.008860811,0.2124660,0.6938123,0.6995972,0.8768795,0.8445823,0.57513963,0.72943258,0.5520281,0.61364376,0.83069383,0.84313306,0.87329664,1, 0,"b","4/GUAM5072__0_",   6.366228,   7.261074,   7.877865,   7.822183,   8.420085,   9.600927,   1.000000
"14310","/home/david/Música/Bioacustica/2016/5072/20160214/GUAM5072__0__20160214_001000.wav",0.8917769,0.9621291,0.3944695,0.9145665,0.128834356,0.6825284,0.146623101,0.000371667,0.2115311,0.6997531,0.6417328,0.9027567,0.9559578,0.92262142,0.85128213,0.8751506,0.81886563,0.82581222,0.91718922,0.97248287,1, 0,"b","4/GUAM5072__0_",   6.114600,   7.136091,   7.988146,   7.989021,   8.760451,   9.972649,   2.000000
"14311","/home/david/Música/Bioacustica/2016/5072/20160214/GUAM5072__0__20160214_003000.wav",0.8914835,0.9654826,0.3910160,0.9331436,0.113496933,0.6838013,0.160599488,0.000245699,0.2157151,0.6968654,0.6636656,0.9066169,0.9531366,0.90714627,0.87097145,0.8448080,0.84294497,0.83613099,0.90062707,0.94824034,1, 0,"b","4/GUAM5072__0_",   6.114600,   7.186115,   8.004185,   8.020240,   8.761291,   9.976502,   3.000000
"14312","/home/david/Música/Bioacustica/2016/5072/20160214/GUAM5072__0__20160214_004000.wav",0.8930025,0.9589981,0.3776657,0.9422704,0.113496933,0.6792550,0.154034012,0.000195038,0.2162831,0.6911524,0.6898127,0.9413025,0.9331860,0.90209803,0.85280792,0.7798153,0.84625621,0.84700252,0.88678541,0.94763684,1, 0,"b","4/GUAM5072__0_",   6.314841,   7.464951,   8.238363,   8.218970,   9.038762,  10.128213,   4.000000
"14313","/home/david/Música/Bioacustica/2016/5072/20160214/GUAM5072__0__20160214_010000.wav",0.8912365,0.9461346,0.3869919,0.9502518,0.122699387,0.6756336,0.189374404,0.002301205,0.2217298,0.6948338,0.6614959,0.9554131,0.9209373,0.78307633,0.87858135,0.8277049,0.84061307,0.81815566,0.88303069,0.92723628,1, 1,"b","4/GUAM5072__0_",   6.633617,   7.447013,   7.963504,   7.921044,   8.457474,   9.432799,   5.000000
"14314","/home/david/Música/Bioacustica/2016/5072/20160214/GUAM5072__0__20160214_012000.wav",0.8948399,0.8384291,0.3865361,0.9409709,0.141104294,0.6759049,0.230330593,0.000193785,0.2201305,0.6924954,0.6572350,0.9556905,0.9473072,0.86849490,0.84814245,0.7239473,0.80131686,0.82487822,0.90325446,0.95830379,1, 1,"b","4/GUAM5072__0_",   6.678927,   7.497570,   8.032341,   7.995567,   8.515101,   9.495987,   6.000000
"14315","/home/david/Música/Bioacustica/2016/5072/20160214/GUAM5072__0__20160214_015000.wav",0.8958876,0.9535644,0.3961555,0.9524868,0.128834356,0.6804708,0.227774214,0.000204924,0.2254553,0.6944470,0.6768474,0.9650156,0.9409322,0.87583844,0.81062862,0.7540637,0.79900205,0.82115896,0.89676432,0.97629726,1, 1,"b","4/GUAM5072__0_",   7.013209,   7.708003,   8.269801,   8.201471,   8.756484,   9.786996,   7.000000
"14316","/home/david/Música/Bioacustica/2016/5072/20160214/GUAM5072__0__20160214_020000.wav",0.8947713,0.9668320,0.3972354,0.9252714,0.180981595,0.6765840,0.300563331,0.000222371,0.2185920,0.7029135,0.6681254,0.9692065,0.9465278,0.84079194,0.85169675,0.7016164,0.83305681,0.83066712,0.91299499,0.96332851,1, 2,"b","4/GUAM5072__0_",   6.889873,   7.607558,   8.136196,   8.109201,   8.615647,   9.588405,   8.000000
"14317","/home/david/Música/Bioacustica/2016/5072/20160214/GUAM5072__0__20160214_021000.wav",0.8952683,0.9665708,0.3957186,0.9407950,0.153374233,0.6762817,0.243960268,0.000520224,0.2199106,0.6971064,0.6987075,0.9555461,0.9182664,0.84807353,0.83841577,0.7336275,0.85392512,0.85286400,0.90321804,0.95548699,1, 2,"b","4/GUAM5072__0_",   7.059896,   7.703043,   8.258164,   8.195561,   8.726435,   9.775229,   9.000000
"14318","/home/david/Música/Bioacustica/2016/5072/20160214/GUAM5072__0__20160214_022000.wav",0.8945978,0.9557936,0.4051479,0.9420131,0.138036810,0.6735651,0.227403669,0.000361488,0.2209589,0.6983423,0.6696893,0.9413796,0.9463684,0.83473424,0.84317056,0.7421579,0.83198126,0.86188529,0.91480365,0.93062553,1, 2,"b","4/GUAM5072__0_",   7.059896,   7.699853,   8.256663,   8.194819,   8.726123,   9.775229,  10.000000
