"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS","Hidalgo_cluster"
"12411","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160407_000000.wav",0.8974375,0.8867774,0.26207519,0.984834625,0.039877301,0.6518256,0.083264475,0.001086048,0.3793744,0.5727909,0.5372248,0.6548979,0.65198663,0.61210578,0.810511217,0.75334542,0.77790891,0.60073775,0.82355568,0.884552379,1, 0,"c","7/TNMP5070__0_",  3.370690,  3.810875,  4.124834,  4.098544,  4.417751,  4.938694,  1.000000,"1"
"12412","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160407_001000.wav",0.8973967,0.9081590,0.28164383,0.980139235,0.055214724,0.6444401,0.080329117,0.001352410,0.3691736,0.5734591,0.5213725,0.5918596,0.59799655,0.55393704,0.818309467,0.76411851,0.77513820,0.59973590,0.80765487,0.845690225,1, 0,"c","7/TNMP5070__0_",  3.370690,  3.811823,  4.131662,  4.099298,  4.421063,  4.945557,  2.000000,"1"
"12413","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160407_002000.wav",0.8953162,0.9098580,0.28492639,0.979350584,0.061349693,0.6453833,0.091181125,0.001698966,0.3616082,0.5956593,0.5161429,0.7174519,0.67201877,0.57138195,0.802338531,0.79846732,0.75981846,0.51681170,0.82213006,0.859325931,1, 0,"c","7/TNMP5070__0_",  3.370690,  3.810875,  4.148029,  4.102839,  4.426456,  5.008525,  3.000000,"1"
"12414","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160407_003000.wav",0.8945784,0.9272511,0.28122022,0.980675186,0.064417178,0.6431898,0.071520124,0.001677054,0.3557025,0.5758064,0.4699008,0.6605172,0.65584460,0.55247462,0.763223767,0.75095266,0.80125456,0.66896788,0.81962444,0.852379552,1, 0,"c","7/TNMP5070__0_",  3.370690,  3.810875,  4.125906,  4.098544,  4.418671,  4.942297,  4.000000,"1"
"12415","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160407_004000.wav",0.8932302,0.8942108,0.29936170,0.979564913,0.061349693,0.6391764,0.075755998,0.002255701,0.3493297,0.5878172,0.4722775,0.6801251,0.61357008,0.56534226,0.810759826,0.73634924,0.79763400,0.69680461,0.83820567,0.871042652,1, 0,"c","7/TNMP5070__0_",  3.370690,  3.811823,  4.126706,  4.099298,  4.418671,  4.942297,  5.000000,"1"
"12416","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160407_005000.wav",0.8936434,0.9364146,0.31291144,0.979206958,0.061349693,0.6401826,0.071711732,0.001536515,0.3516424,0.5931250,0.5893103,0.6391062,0.65452541,0.53642147,0.822918908,0.73707887,0.75548276,0.66265217,0.84375923,0.897465477,1, 0,"c","7/TNMP5070__0_",  3.370690,  3.812786,  4.147752,  4.103183,  4.426456,  5.008525,  6.000000,"1"
"12417","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160407_010000.wav",0.8952239,0.9389332,0.30872865,0.981469218,0.070552147,0.6496202,0.074177170,0.002428639,0.3524304,0.5957459,0.5785397,0.8104314,0.79462433,0.66831306,0.793762542,0.77869297,0.74365155,0.64373308,0.82171070,0.888858237,1, 1,"c","7/TNMP5070__0_",  3.371150,  3.812786,  4.170618,  4.108487,  4.440638,  5.060137,  7.000000,"1"
"12418","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160407_011000.wav",0.8935298,0.9398870,0.30791213,0.980023699,0.064417178,0.6445437,0.078456904,0.001583722,0.3511151,0.6007372,0.5564123,0.8049054,0.75811326,0.56677594,0.813902941,0.73139297,0.77379980,0.64421853,0.82076303,0.866862599,1, 1,"c","7/TNMP5070__0_",  3.371150,  3.813852,  4.167547,  4.109600,  4.455092,  5.052986,  8.000000,"1"
"12419","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_171023.wav",0.7944784,0.7584688,0.32448062,0.070924706,0.026837871,0.6367492,0.019661526,0.034465688,0.3389855,0.8108600,0.5497608,0.6875995,0.63122817,0.64977743,0.387973054,0.46097709,0.53995093,0.70716271,0.64379533,0.755839250,1,17,"c","7/TNMP5070__0_",  4.013880,  4.603193,  5.057937,  4.996393,  5.399876,  6.247052,  9.000000,"2"
"12420","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_172000.wav",0.8890431,0.7768361,0.28589682,0.022730105,0.088957055,0.6004015,0.007754285,0.011176979,0.3086773,0.7556741,0.4939754,0.6849551,0.38500073,0.29643616,0.542326022,0.42187916,0.05457468,0.46110599,0.48339711,0.814990148,1,17,"c","7/TNMP5070__0_",  4.027377,  4.694319,  5.485761,  5.166113,  6.025442,  7.893695, 10.000000,"2"
"12421","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_173000.wav",0.8901649,0.8068569,0.31456286,0.005280936,0.030674847,0.6267354,0.003009937,0.006480722,0.3210643,0.7802618,0.4687767,0.7048397,0.61370114,0.40323141,0.589679499,0.64474376,0.45952812,0.65740855,0.57987243,0.755707468,1,17,"c","7/TNMP5070__0_",  4.113209,  4.609343,  4.988081,  4.973434,  5.348040,  5.930390, 11.000000,"2"
"12422","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_174000.wav",0.8911883,0.8899191,0.32766277,0.002340697,0.030674847,0.6344434,0.001401608,0.007070478,0.3145073,0.7589579,0.4720008,0.7326460,0.72704971,0.28374641,0.736283136,0.65982837,0.74227904,0.56449140,0.64481425,0.890358482,1,17,"c","7/TNMP5070__0_",  4.113209,  4.611160,  4.995749,  4.975039,  5.351337,  5.936630, 12.000000,"2"
"12423","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_180000.wav",0.8939911,0.8598811,0.28650244,0.015417189,0.033742331,0.6053294,0.001882327,0.007559082,0.3050499,0.6708718,0.4377088,0.6758758,0.78132890,0.31831624,0.144879909,0.36254360,0.50622302,0.48816636,0.70290772,0.823198662,1,18,"c","7/TNMP5070__0_",  4.089016,  4.656045,  5.254301,  5.072431,  5.571931,  7.427846, 13.000000,"2"
"12424","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_181000.wav",0.9054775,0.8967314,0.27246380,0.052047656,0.039877301,0.6623844,0.002165793,0.005698790,0.3354193,0.6235344,0.4708926,0.6608807,0.70850079,0.68808116,0.693794614,0.63017872,0.71963960,0.69575858,0.63211661,0.759393760,1,18,"c","7/TNMP5070__0_",  3.791836,  4.423052,  4.855026,  4.859317,  5.272288,  5.894002, 14.000000,"2"
"12425","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_182000.wav",0.9009146,0.8769031,0.27116427,0.092791660,0.033742331,0.6508656,0.002333092,0.006596773,0.3827912,0.5990588,0.3916502,0.6532579,0.81145532,0.72996419,0.773400386,0.70694683,0.76302052,0.61201391,0.75154750,0.778251259,1,18,"c","7/TNMP5070__0_",  3.777647,  4.406186,  4.846449,  4.854465,  5.265994,  5.892061, 15.000000,"2"
"12426","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_204000.wav",0.8963900,0.6740164,0.28471160,0.773555515,0.447852761,0.5613244,0.057780795,0.004606734,0.3358589,0.4844687,0.5059210,0.4937101,0.31534750,0.31201538,0.712638730,0.76209930,0.72398644,0.76138436,0.71984931,0.623530425,1,20,"c","7/TNMP5070__0_",  3.371150,  3.811823,  4.138544,  4.101108,  4.422245,  4.996012, 16.000000,"1"
"12427","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_214023.wav",0.8078710,0.7983971,0.22949549,0.822016667,0.333556396,0.6310358,0.081398342,0.002162811,0.3661109,0.4968233,0.4123126,0.4997741,0.30207834,0.41411250,0.718963084,0.72806396,0.69523371,0.79109076,0.78395226,0.628306698,1,21,"c","7/TNMP5070__0_",  3.367233,  3.818340,  4.228754,  4.121363,  4.474443,  5.281482, 17.000000,"1"
"12428","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_220000.wav",0.9021244,0.8210511,0.22560990,0.695278618,0.552147239,0.5905477,0.054751336,0.002702096,0.3294510,0.4947297,0.5371426,0.5646644,0.29485975,0.32483101,0.721402050,0.74489550,0.72482246,0.74802588,0.76324306,0.721718633,1,22,"c","7/TNMP5070__0_",  3.371150,  3.813053,  4.168098,  4.108082,  4.434728,  5.052986, 18.000000,"1"
"12429","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_221000.wav",0.8980327,0.8989342,0.26535622,0.743411940,0.432515337,0.5809160,0.054328953,0.002426841,0.3242495,0.5163754,0.5153225,0.4884378,0.21944774,0.45815181,0.760245505,0.70383262,0.70105825,0.69241586,0.74378469,0.839132569,1,22,"c","7/TNMP5070__0_",  3.370690,  3.810875,  4.124834,  4.098544,  4.417751,  4.938694, 19.000000,"1"
"12430","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_222000.wav",0.8981426,0.9100818,0.26338062,0.781895181,0.398773006,0.6013947,0.044632139,0.002723409,0.3193099,0.5040693,0.5135706,0.5979527,0.30987742,0.65837314,0.712851409,0.71545166,0.72867355,0.74203769,0.78296453,0.868569567,1,22,"c","7/TNMP5070__0_",  3.379003,  3.821862,  4.229748,  4.119919,  4.468492,  5.276940, 20.000000,"1"
"12431","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_223000.wav",0.8970535,0.9309226,0.27323933,0.758823423,0.398773006,0.5803560,0.040155626,0.003948876,0.3193452,0.5009429,0.5131028,0.4496460,0.25616354,0.40045150,0.716438288,0.72168594,0.70837048,0.69620917,0.77383712,0.837642222,1,22,"c","7/TNMP5070__0_",  3.370690,  3.810875,  4.124834,  4.098544,  4.417751,  4.938694, 21.000000,"1"
"12432","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_224000.wav",0.8977640,0.7730657,0.26091586,0.791389719,0.334355828,0.5701239,0.036182498,0.003797782,0.3236279,0.4858647,0.5365670,0.4513410,0.26336870,0.21558269,0.670831173,0.72528695,0.70360711,0.75419044,0.81062648,0.777722839,1,22,"c","7/TNMP5070__0_",  3.370690,  3.812356,  4.141723,  4.102839,  4.423515,  4.996012, 22.000000,"1"
"12433","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_231023.wav",0.8069285,0.6538038,0.26006342,0.955930177,0.095849539,0.6527869,0.092958589,0.004124641,0.3704521,0.5550011,0.5107655,0.4336309,0.46413559,0.49537904,0.757221364,0.74339137,0.70936343,0.79795969,0.75640521,0.827606398,1,23,"c","7/TNMP5070__0_",  3.425309,  3.904069,  4.750776,  4.296542,  4.925313,  7.753752, 23.000000,"1"
"12434","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_232000.wav",0.8973115,0.8742424,0.26464542,0.955706352,0.116564417,0.5883732,0.063737543,0.001544437,0.3520625,0.5309644,0.4849243,0.5110655,0.41007720,0.33550334,0.728129347,0.64682100,0.69448219,0.77228700,0.77201141,0.781316246,1,23,"c","7/TNMP5070__0_",  3.377461,  3.824636,  4.210820,  4.135152,  4.474443,  5.170107, 24.000000,"1"
"12435","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_233000.wav",0.8964698,0.9125450,0.27795675,0.971527107,0.055214724,0.6193080,0.072713134,0.001512526,0.3558541,0.5546133,0.5278427,0.5408892,0.42839520,0.50212608,0.740685883,0.67993974,0.73442900,0.76898508,0.80950899,0.864880291,1,23,"c","7/TNMP5070__0_",  3.399653,  3.832008,  4.310375,  4.146605,  4.518726,  6.044551, 25.000000,"1"
"12436","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_234000.wav",0.8959169,0.8245692,0.28418103,0.981439797,0.018404908,0.6228758,0.071863842,0.001335925,0.3608516,0.5542147,0.4196830,0.6166177,0.47298999,0.63657803,0.755937361,0.68061145,0.74255809,0.71984587,0.75540027,0.830636422,1,23,"c","7/TNMP5070__0_",  3.370690,  3.810875,  4.124992,  4.098544,  4.417751,  4.938694, 26.000000,"1"
"12437","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160410_235000.wav",0.9006924,0.8234737,0.25449868,0.984269100,0.006134969,0.6501853,0.102142925,0.002423971,0.3909398,0.5586955,0.4789732,0.6964938,0.47819145,0.58554563,0.792699992,0.69213016,0.73778232,0.77458400,0.76265963,0.722794535,1,23,"c","7/TNMP5070__0_",  3.371150,  3.813053,  4.148664,  4.106893,  4.427795,  5.008525, 27.000000,"1"
"12438","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160411_000000.wav",0.8954053,0.8299727,0.28737934,0.988610657,0.012269939,0.6181896,0.072871806,0.001321404,0.3650666,0.5571175,0.4287562,0.6565197,0.52955275,0.63502455,0.779421605,0.68485986,0.71091865,0.64038582,0.73399025,0.811143627,1, 0,"c","7/TNMP5070__0_",  3.370690,  3.810875,  4.124834,  4.098544,  4.417751,  4.938694, 28.000000,"1"
"12439","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160411_004023.wav",0.8011607,0.8934277,0.29212476,0.987910106,0.019169908,0.6464468,0.083169280,0.000831154,0.3586603,0.5964595,0.5635966,0.7111953,0.64319198,0.64468064,0.782790261,0.70488382,0.77038839,0.67349477,0.80655576,0.834401735,1, 0,"c","7/TNMP5070__0_",  3.371150,  3.812786,  4.194397,  4.107721,  4.453110,  5.129863, 29.000000,"1"
"12440","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160411_005000.wav",0.8929717,0.6771240,0.27300332,0.983390954,0.039877301,0.6243282,0.089057272,0.001144877,0.3564696,0.5865472,0.5809680,0.5901543,0.53582027,0.60119575,0.682544911,0.69387730,0.76463218,0.65583999,0.78843364,0.793206813,1, 0,"c","7/TNMP5070__0_",  3.394550,  3.844394,  4.429433,  4.176271,  4.559396,  7.063223, 30.000000,"1"
"12441","/home/david/Música/Bioacustica/2016/5070/20160407/TNMP5070__0__20160411_011000.wav",0.8981626,0.9341100,0.29392009,0.992738315,0.012269939,0.6355565,0.055888267,0.001071356,0.3613386,0.5589763,0.6082190,0.7809194,0.60963281,0.64233968,0.796417219,0.71049483,0.71948218,0.63766203,0.72264996,0.866572354,1, 1,"c","7/TNMP5070__0_",  3.370690,  3.810875,  4.124834,  4.098544,  4.417751,  4.938694, 31.000000,"1"
