"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS","Hidalgo_cluster"
"25311","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_192000.wav",0.8987090,0.8356438,0.3111140,0.9963694,0.000000000,0.6248127,0.049401261,0.001180627,0.4717934,0.5705195,0.3181327,0.9053138,0.9023615,0.87812567,0.73766600,0.85356696,0.3940594,0.6862801,0.80297516,0.476892399,0,19,"b","654-302151__0_",  4.486801,  5.425909,  6.221074,  6.156556,  6.905365,  8.164949,  1.000000,"1"
"25312","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_194000.wav",0.8968954,0.9239606,0.3257627,0.9973465,0.000000000,0.6405141,0.028094152,0.001547854,0.4647137,0.5526175,0.2358902,0.8772774,0.8176403,0.78680684,0.77124369,0.84987666,0.5619557,0.7981315,0.80052580,0.594679340,0,19,"b","654-302151__0_",  4.596928,  5.446224,  6.253289,  6.173622,  6.909738,  8.127879,  2.000000,"1"
"25313","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_195000.wav",0.8975838,0.8925899,0.3267402,0.9984138,0.000000000,0.6454378,0.021832499,0.003301972,0.4641257,0.5252295,0.1822363,0.8987481,0.8690416,0.77522764,0.60059171,0.76139383,0.5243628,0.7900793,0.76376858,0.567202424,0,19,"b","654-302151__0_",  4.568040,  5.449189,  6.253392,  6.182255,  6.919970,  8.127879,  3.000000,"1"
"25314","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_200000.wav",0.8980087,0.9512775,0.3248578,0.9985743,0.000000000,0.6540579,0.020121765,0.001887629,0.4612449,0.4938499,0.2263579,0.9145747,0.9165134,0.86322967,0.71960639,0.78188491,0.3813183,0.8213615,0.76368221,0.631750978,0,20,"b","654-302151__0_",  4.624679,  5.447846,  6.258122,  6.176285,  6.915588,  8.127879,  4.000000,"1"
"25315","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_201000.wav",0.8965365,0.9095767,0.3230852,0.9977786,0.000000000,0.6302763,0.026043392,0.001681532,0.4586237,0.5276764,0.1456652,0.9051633,0.8305078,0.84660644,0.70055944,0.77958661,0.4243532,0.7959253,0.73434555,0.594098641,0,20,"b","654-302151__0_",  4.631422,  5.453408,  6.262690,  6.178529,  6.919970,  8.127879,  5.000000,"1"
"25316","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_203000.wav",0.8974894,0.9405243,0.3286480,0.9981007,0.000000000,0.6383200,0.024040766,0.001599673,0.4543914,0.5227715,0.1857604,0.9415869,0.7988242,0.83730504,0.72976189,0.72743608,0.5002910,0.8297051,0.72695712,0.657597519,0,20,"b","654-302151__0_",  4.631422,  5.453408,  6.262327,  6.178529,  6.919970,  8.127879,  6.000000,"1"
"25317","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_204000.wav",0.8977169,0.9282568,0.3359515,0.9974477,0.000000000,0.6594262,0.026396168,0.001674668,0.4542727,0.5587924,0.2527017,0.9466341,0.8404703,0.87910738,0.79383287,0.79106679,0.6099085,0.8251337,0.69370408,0.673762067,0,20,"b","654-302151__0_",  4.645611,  5.458072,  6.260819,  6.178529,  6.915588,  8.097439,  7.000000,"1"
"25318","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_205000.wav",0.8981242,0.8566889,0.3247083,0.9975024,0.000000000,0.6592559,0.024486369,0.001615057,0.4534098,0.5225233,0.4288024,0.9128779,0.8534588,0.85182540,0.75842528,0.77812777,0.5179393,0.7916297,0.71758276,0.677023863,0,20,"b","654-302151__0_",  4.605053,  5.470793,  6.265994,  6.194546,  6.923345,  8.115917,  8.000000,"1"
"25319","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_210000.wav",0.8959113,0.9441380,0.3297264,0.9973903,0.000000000,0.6485286,0.026307815,0.001537447,0.4460343,0.5323099,0.3044697,0.9190556,0.7537878,0.88570884,0.69499025,0.75059255,0.6641829,0.8067182,0.67024884,0.698193253,0,21,"b","654-302151__0_",  4.362618,  5.391410,  6.151146,  6.100164,  6.851891,  7.991855,  9.000000,"1"
"25320","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_211000.wav",0.8957241,0.9353462,0.3212276,0.9982908,0.033742331,0.6428870,0.022175050,0.001471455,0.4417274,0.4849111,0.5808774,0.9488022,0.8573221,0.80135499,0.70996936,0.70936674,0.4831338,0.8319881,0.66295286,0.736815108,0,21,"b","654-302151__0_",  4.603362,  5.465529,  6.264323,  6.186854,  6.921647,  8.166118, 10.000000,"1"
"25321","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_212000.wav",0.8963962,0.9116060,0.3397623,0.9958299,0.018404908,0.6563773,0.038274664,0.001631592,0.4375295,0.5868640,0.5460995,0.9365198,0.8184471,0.80620593,0.75894255,0.75644209,0.5520264,0.7833524,0.71195702,0.848975847,0,21,"b","654-302151__0_",  4.597139,  5.463076,  6.262011,  6.183042,  6.915588,  8.165750, 11.000000,"1"
"25322","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_213000.wav",0.8957018,0.9337050,0.3407030,0.9982707,0.000000000,0.6617032,0.020750088,0.001517153,0.4436343,0.5235690,0.1988138,0.9015976,0.8089721,0.77761889,0.72247960,0.78312462,0.7520026,0.8024660,0.72362930,0.864356414,0,21,"b","654-302151__0_",  4.280130,  5.228089,  6.029270,  6.004344,  6.772822,  7.924042, 12.000000,"1"
"25323","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_214000.wav",0.8952850,0.9349130,0.3417200,0.9987011,0.000000000,0.6675838,0.014445809,0.001898517,0.4424712,0.4831797,0.2624509,0.9467633,0.9132215,0.85511941,0.78706494,0.81462424,0.7074921,0.7995717,0.78924044,0.898737454,0,21,"b","654-302151__0_",  4.280130,  5.234335,  6.030288,  6.007817,  6.778488,  7.920840, 13.000000,"1"
"25324","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_215000.wav",0.8954478,0.9194770,0.3450493,0.9984045,0.000000000,0.6618301,0.018551793,0.001667478,0.4417116,0.5227764,0.2883123,0.9255153,0.9367189,0.88474238,0.76442716,0.78432009,0.7683494,0.8167248,0.69610156,0.881100288,0,21,"b","654-302151__0_",  4.295659,  5.234422,  6.041238,  6.018500,  6.785846,  7.930039, 14.000000,"1"
"25325","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_220000.wav",0.8958739,0.8931088,0.3411552,0.9988090,0.000000000,0.6680703,0.017395726,0.003827509,0.4394285,0.4972150,0.2935749,0.9441690,0.8916689,0.85239953,0.74822478,0.81582142,0.6689607,0.7662884,0.62400095,0.866120644,0,22,"b","654-302151__0_",  4.286666,  5.234422,  6.037108,  6.012554,  6.780665,  7.924042, 15.000000,"1"
"25326","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_221000.wav",0.8980776,0.9379974,0.3455262,0.9984836,0.000000000,0.6759581,0.019385490,0.001763071,0.4356954,0.5127879,0.4900568,0.8879476,0.8979124,0.88744894,0.79945597,0.77838537,0.6297519,0.8169216,0.62192004,0.879593114,0,22,"b","654-302151__0_",  4.537224,  5.435123,  6.227153,  6.153178,  6.907723,  8.134930, 16.000000,"1"
"25327","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_223000.wav",0.8969270,0.9279300,0.3392986,0.9990122,0.000000000,0.6602569,0.017226348,0.001939391,0.4325735,0.4809988,0.1413991,0.9666597,0.8426186,0.76962585,0.79109336,0.78915812,0.6338202,0.7625137,0.64774343,0.910617315,0,22,"b","654-302151__0_",  4.286666,  5.252522,  6.042702,  6.024169,  6.785846,  7.920840, 17.000000,"1"
"25328","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_230000.wav",0.8955331,0.9538782,0.3515472,0.9985966,0.003067485,0.6437136,0.025475495,0.012532399,0.4326499,0.5419903,0.3622252,0.8578818,0.8225246,0.81456314,0.77967140,0.72595618,0.7830953,0.7405409,0.50184567,0.833975275,0,23,"b","654-302151__0_",  4.174106,  5.219654,  6.021132,  6.014237,  6.817593,  7.976807, 18.000000,"1"
"25329","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170206_235000.wav",0.8971383,0.9453269,0.4068065,0.9990432,0.006134969,0.6498125,0.022481527,0.002506887,0.4211675,0.5095968,0.9853447,0.9261474,0.9340712,0.86138611,0.80861679,0.74942318,0.7598762,0.7838450,0.55277987,0.907580578,0,23,"b","654-302151__0_",  4.202663,  5.328879,  6.164991,  6.104503,  6.949652,  8.267014, 19.000000,"1"
"25330","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170212_005001.wav",0.8927065,0.9204774,0.6558165,0.9897192,0.092015557,0.6552949,0.089288566,0.000805058,0.4182990,0.7938451,0.6805989,0.8604368,0.7465114,0.82692433,0.76827370,0.65143246,0.7067347,0.7507922,0.88233858,0.900563939,0, 0,"b","654-302151__0_",  2.923696,  3.556868,  4.198100,  4.124073,  4.663581,  5.866623, 20.000000,"2"
"25331","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170212_010000.wav",0.8956632,0.9397309,0.6432223,0.9870767,0.046012270,0.6312028,0.054202660,0.002885181,0.4010739,0.7721272,0.7443366,0.7580310,0.6893907,0.85722043,0.74920295,0.54004437,0.7524537,0.6913123,0.83398228,0.887818693,0, 1,"b","654-302151__0_",  2.923696,  3.549860,  4.198701,  4.124073,  4.669926,  5.948857, 21.000000,"2"
"25332","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170212_040000.wav",0.8916071,0.9612628,0.5200301,0.9149005,0.196319018,0.6721140,0.341365053,0.002353149,0.4041319,0.8967289,0.5714310,0.8713853,0.9069937,0.86739558,0.75774005,0.86526749,0.7875519,0.7697491,0.89866184,0.951287560,0, 4,"b","654-302151__0_",  3.216399,  4.188343,  4.928640,  4.934347,  5.703238,  6.655637, 22.000000,"3"
"25333","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170212_042004.wav",0.8766058,0.9499888,0.5292321,0.9238403,0.134189355,0.6779751,0.334198468,0.000269167,0.4009407,0.8948594,0.5372867,0.9284017,0.8939087,0.88179189,0.77303739,0.83691446,0.7716496,0.8640210,0.92995026,0.959005473,0, 4,"b","654-302151__0_",  3.220114,  4.189735,  4.937589,  4.949359,  5.714717,  6.664419, 23.000000,"3"
"25334","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170212_045000.wav",0.8918803,0.9570464,0.4530805,0.8141665,0.174846626,0.6793539,0.322930921,0.001104198,0.3921289,0.8985734,0.5767706,0.8845135,0.8812879,0.83301376,0.77084780,0.83684707,0.8156627,0.6751124,0.86694174,0.946696124,0, 4,"b","654-302151__0_",  3.216399,  4.166663,  4.914191,  4.928607,  5.685322,  6.607553, 24.000000,"3"
"25335","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170212_050000.wav",0.8910604,0.9735445,0.4739735,0.8466278,0.159509202,0.6823368,0.363249913,0.000353810,0.3948961,0.9154257,0.5566787,0.9208650,0.9010004,0.90111095,0.74943081,0.84091055,0.8080753,0.9059423,0.87152512,0.934660366,0, 5,"b","654-302151__0_",  3.216399,  4.185490,  4.931302,  4.937527,  5.708557,  6.658983, 25.000000,"3"
"25336","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170212_052000.wav",0.8903556,0.8718725,0.4357877,0.8209196,0.205521472,0.6749120,0.503208286,0.001324512,0.4040568,0.9331026,0.5232435,0.9352762,0.9250106,0.84065810,0.75557937,0.83328286,0.8540487,0.8850619,0.83932604,0.918536210,0, 5,"b","654-302151__0_",  3.220114,  4.190841,  4.963247,  4.952247,  5.740079,  6.760053, 26.000000,"3"
"25337","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170212_054000.wav",0.8897301,0.9326334,0.4124869,0.5520919,0.358895706,0.6620958,0.135772564,0.003449393,0.3753242,0.9167705,0.5794338,0.6707549,0.1811461,0.61045100,0.67405799,0.81828639,0.8180779,0.8584172,0.87063490,0.880480066,0, 5,"b","654-302151__0_",  4.718724,  5.563817,  6.286584,  6.204417,  6.888661,  8.118065, 27.000000,"4"
"25338","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170212_061000.wav",0.8897277,0.9554695,0.4148603,0.5615193,0.361963190,0.6498343,0.173732267,0.002504964,0.3678444,0.9107529,0.6016208,0.7853810,0.3367042,0.61049219,0.53430821,0.61052487,0.7970083,0.7641947,0.83424896,0.842996333,0, 6,"b","654-302151__0_",  4.792607,  5.581699,  6.322587,  6.220702,  6.919177,  8.183821, 28.000000,"4"
"25339","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170212_063000.wav",0.8891750,0.9577858,0.4287642,0.4411882,0.150306748,0.6506928,0.177649868,0.000705589,0.3642025,0.9296378,0.5631234,0.8039670,0.7385121,0.59229073,0.64050737,0.73024032,0.6985955,0.8619623,0.85905453,0.902422531,0, 6,"b","654-302151__0_",  4.219185,  5.313976,  5.980174,  5.966279,  6.690346,  7.758639, 29.000000,"4"
"25340","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170212_070000.wav",0.8878775,0.9557984,0.4257189,0.4812937,0.162576687,0.6555363,0.122865150,0.001626090,0.3631477,0.9366785,0.6260016,0.8919092,0.3195715,0.33129817,0.61470487,0.77967236,0.7634597,0.8573008,0.82462841,0.901311136,0, 7,"b","654-302151__0_",  4.545762,  5.537622,  6.245386,  6.170128,  6.888661,  8.099273, 30.000000,"4"
"25341","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170212_074000.wav",0.8896711,0.8722205,0.3745879,0.8224127,0.791411043,0.6001005,0.070839186,0.018660934,0.3370152,0.8226939,0.5896643,0.8177904,0.1965748,0.12161936,0.20436761,0.06741768,0.3654036,0.6237507,0.77097582,0.725296029,0, 7,"b","654-302151__0_",  4.321901,  5.262492,  6.004932,  5.895416,  6.655759,  8.031038, 31.000000,"3"
"25342","/media/microp/DavidDD/bioacustica/2017/302151/20170202/13654-302151__0__20170212_075000.wav",0.8873001,0.7164530,0.4127916,0.5053031,0.426380368,0.6459045,0.291126443,0.009910958,0.3796045,0.9324362,0.5866658,0.7854173,0.4973324,0.31700137,0.60082336,0.75247995,0.6506155,0.7100099,0.40437546,0.421924211,0, 7,"b","654-302151__0_",  4.437387,  5.486296,  6.273798,  6.237407,  7.007247,  8.271405, 32.000000,"4"
