"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS"
"914","/home/david/Música/Bioacustica/2015/5067/20151212/M0S5067__0__20151212_000000.wav",0.8912009,0.9203662,0.3424575,0.9814427,0.000000000,0.6647873,0.041031221,0.002903127,0.3904032,0.5897155,0.6648046,0.9006764,0.8770634,0.88587925,0.86562627,0.828037178,0.68489409,0.73218971,0.84315284,0.9099626,2, 0,"g","12/M0S5067__0_",   7.251037,   7.864292,   8.382838,   8.325058,   8.860891,   9.721834,   1.000000
"915","/home/david/Música/Bioacustica/2015/5067/20151212/M0S5067__0__20151212_004000.wav",0.8901928,0.9067921,0.3499119,0.9699857,0.000000000,0.6654435,0.059683476,0.001067878,0.3877313,0.6227389,0.5837951,0.8871952,0.8741357,0.87115254,0.87161289,0.810518338,0.68885534,0.76059953,0.87410065,0.8923476,2, 0,"g","12/M0S5067__0_",   7.225549,   7.840550,   8.305560,   8.265065,   8.744488,   9.553507,   2.000000
"916","/home/david/Música/Bioacustica/2015/5067/20151212/M0S5067__0__20151212_005000.wav",0.8911923,0.7530286,0.3467368,0.9768838,0.000000000,0.6636159,0.053502309,0.000884505,0.3941193,0.6160684,0.5944001,0.9270093,0.9389795,0.90797780,0.83355289,0.829683298,0.74918973,0.73978434,0.83748225,0.8327651,2, 0,"g","12/M0S5067__0_",   8.322628,   8.905757,   9.292365,   9.303637,   9.679458,  10.216920,   3.000000
"917","/home/david/Música/Bioacustica/2015/5067/20151212/M0S5067__0__20151212_130000.wav",0.8905168,0.6663095,0.3204775,0.6352480,0.254601227,0.6789497,0.219076364,0.000989181,0.4671114,0.7649369,0.5133534,0.9274580,0.9017058,0.86896648,0.90091722,0.906480041,0.74894161,0.73479113,0.52817592,0.3385711,2,13,"g","12/M0S5067__0_",   7.088436,   7.532831,   7.807667,   7.790913,   8.080657,   8.514910,   4.000000
"918","/home/david/Música/Bioacustica/2015/5067/20151212/M0S5067__0__20151212_143000.wav",0.9017973,0.8410051,0.2744337,0.5127079,0.220858896,0.7134558,0.337279720,0.002552241,0.5991639,0.8516189,0.5492693,0.8872402,0.9080450,0.78418843,0.84383524,0.807379817,0.85184037,0.87662452,0.72965832,0.5754813,2,14,"g","12/M0S5067__0_",   7.122180,   7.558914,   7.912904,   7.847251,   8.192704,   8.990249,   5.000000
"919","/home/david/Música/Bioacustica/2015/5067/20151212/M0S5067__0__20151212_150000.wav",0.8905667,0.7360273,0.3249853,0.6373267,0.245398773,0.6787007,0.235807515,0.000528381,0.4524856,0.7649611,0.5284521,0.8980197,0.9176388,0.83930508,0.75565244,0.713371139,0.78338460,0.86352048,0.65106279,0.5087731,2,15,"g","12/M0S5067__0_",   7.105989,   7.551836,   7.845341,   7.817851,   8.115302,   8.621084,   6.000000
"920","/home/david/Música/Bioacustica/2015/5067/20151212/M0S5067__0__20151212_151000.wav",0.8909701,0.7560907,0.3134614,0.6688561,0.242331288,0.6631010,0.244011263,0.002102067,0.4400749,0.7566958,0.5397504,0.9075176,0.9156260,0.72851526,0.71841276,0.816694208,0.70289246,0.70775126,0.62797600,0.4020000,2,15,"g","12/M0S5067__0_",   7.120290,   7.570413,   7.889938,   7.840145,   8.173017,   8.804587,   7.000000
"921","/home/david/Música/Bioacustica/2015/5067/20151212/M0S5067__0__20151212_152000.wav",0.8896925,0.7641163,0.3333524,0.5966368,0.245398773,0.6820817,0.227375125,0.000316175,0.4412903,0.7835058,0.5414491,0.8655669,0.9292033,0.91198608,0.93926747,0.901474501,0.83175395,0.86519047,0.63892058,0.3767192,2,15,"g","12/M0S5067__0_",   7.102297,   7.533437,   7.808151,   7.790913,   8.084043,   8.508881,   8.000000
"922","/home/david/Música/Bioacustica/2015/5067/20151212/M0S5067__0__20151212_153000.wav",0.8908088,0.7411822,0.3271320,0.6925243,0.223926380,0.6873135,0.206503756,0.000813605,0.4596357,0.7558493,0.5386969,0.9089288,0.9261323,0.91784983,0.94084354,0.925179876,0.92662766,0.83780747,0.66228466,0.6345934,2,15,"g","12/M0S5067__0_",   7.095180,   7.533437,   7.813781,   7.793243,   8.087176,   8.546423,   9.000000
"923","/home/david/Música/Bioacustica/2015/5067/20151212/M0S5067__0__20151212_154000.wav",0.8903727,0.7514565,0.3325451,0.6451031,0.254601227,0.6830624,0.245011250,0.000463194,0.4438980,0.7797374,0.5329469,0.9024734,0.9151639,0.83859421,0.83701012,0.940196764,0.86378401,0.91711611,0.66162399,0.5112736,2,15,"g","12/M0S5067__0_",   7.102297,   7.533437,   7.809925,   7.792035,   8.086449,   8.508881,  10.000000
