"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS","Hidalgo_cluster"
"8534","/home/david/Música/Bioacustica/2015/LAS40-5069/20151212/LAS40-5069__0__20151212_001000.wav",0.8896519,0.8228985,0.2587349,0.9947680,0.000000000,0.6330000,0.028931067,0.001611162,0.2797635,0.4490245,0.54719834,0.9069611,0.8732423,0.8501733,0.8395386,0.7917092,0.8016975,0.6894018,0.72554811,0.84696110,1, 0,"g","LAS40-5069__0_",   8.160074,   8.931844,   9.373389,   9.405018,   9.860127,  10.517406,   1.000000,"1"
"8535","/home/david/Música/Bioacustica/2015/LAS40-5069/20151212/LAS40-5069__0__20151212_002000.wav",0.8909717,0.8090114,0.2415519,0.9972495,0.000000000,0.6121840,0.019162711,0.003079118,0.3042856,0.4104252,0.52176954,0.9430123,0.9035547,0.8976013,0.7895405,0.7166800,0.8282026,0.7683634,0.77598656,0.81671195,1, 0,"g","LAS40-5069__0_",   6.951695,   8.839497,   9.138675,   9.338027,   9.790161,  10.424540,   2.000000,"1"
"8536","/home/david/Música/Bioacustica/2015/LAS40-5069/20151212/LAS40-5069__0__20151212_003000.wav",0.8904687,0.7726992,0.2428446,0.9974858,0.000000000,0.6215366,0.017922589,0.001912092,0.3095447,0.4080468,0.47907662,0.9285784,0.8907100,0.9183431,0.8556936,0.8416114,0.8565881,0.8113328,0.76095064,0.86330759,1, 0,"g","LAS40-5069__0_",   6.477026,   6.987866,   7.353702,   7.320923,   7.693050,   8.327938,   3.000000,"2"
"8537","/home/david/Música/Bioacustica/2015/LAS40-5069/20151212/LAS40-5069__0__20151212_004000.wav",0.8912641,0.8130911,0.2420379,0.9967433,0.000000000,0.6152236,0.022440421,0.001983378,0.2973634,0.4198106,0.54006439,0.9460585,0.8922660,0.8965766,0.7748500,0.7158840,0.8535802,0.7707337,0.77034680,0.82964437,1, 0,"g","LAS40-5069__0_",   4.833642,   8.257188,   8.597585,   9.088003,   9.602962,  10.274055,   4.000000,"1"
"8538","/home/david/Música/Bioacustica/2015/LAS40-5069/20151212/LAS40-5069__0__20151212_005000.wav",0.8907139,0.8127402,0.2544475,0.9962469,0.000000000,0.6260256,0.022778555,0.001773014,0.2931722,0.4277144,0.50782070,0.9086480,0.8825939,0.8803295,0.8389440,0.7836727,0.8378697,0.7416710,0.78408624,0.78156530,1, 0,"g","LAS40-5069__0_",   8.442806,   9.029367,   9.481041,   9.448396,   9.902023,  10.559121,   5.000000,"1"
"8539","/home/david/Música/Bioacustica/2015/LAS40-5069/20151212/LAS40-5069__0__20151212_010000.wav",0.8910479,0.8678316,0.2553078,0.9966321,0.000000000,0.6389276,0.019690567,0.006658938,0.2950492,0.4222736,0.52655531,0.8962683,0.8423263,0.8631776,0.8477524,0.8411376,0.8645929,0.7848506,0.80605863,0.87593256,1, 1,"g","LAS40-5069__0_",   6.548097,   7.077952,   7.700494,   7.447965,   8.117747,   9.679805,   6.000000,"2"
"8540","/home/david/Música/Bioacustica/2015/LAS40-5069/20151212/LAS40-5069__0__20151212_011000.wav",0.8913342,0.8073199,0.2550963,0.9959085,0.000000000,0.6343559,0.022323673,0.002317283,0.2842077,0.4312553,0.48260063,0.8878255,0.8412159,0.8584980,0.8089074,0.8127013,0.8081577,0.7527326,0.73188576,0.86537797,1, 1,"g","LAS40-5069__0_",   8.442806,   9.029367,   9.481041,   9.448396,   9.902023,  10.559121,   7.000000,"1"
"8541","/home/david/Música/Bioacustica/2015/LAS40-5069/20151212/LAS40-5069__0__20151212_012000.wav",0.8911145,0.7787137,0.2440261,0.9969578,0.000000000,0.6123007,0.020493441,0.002235548,0.2996446,0.4107321,0.51815753,0.8849396,0.8693498,0.9181807,0.8468725,0.7021842,0.8252228,0.7874825,0.75629236,0.85584076,1, 1,"g","LAS40-5069__0_",   8.141821,   8.905247,   9.354935,   9.392322,   9.850713,  10.517406,   8.000000,"1"
"8542","/home/david/Música/Bioacustica/2015/LAS40-5069/20151212/LAS40-5069__0__20151212_013000.wav",0.8911352,0.8212642,0.2512027,0.9966365,0.000000000,0.6193391,0.020062449,0.005529953,0.2946609,0.4196894,0.52622755,0.9490478,0.8658820,0.8972351,0.8308174,0.7787359,0.8167997,0.7771307,0.77654095,0.84865250,1, 1,"g","LAS40-5069__0_",   8.388192,   9.010557,   9.449213,   9.436885,   9.881547,  10.531255,   9.000000,"1"
"8543","/home/david/Música/Bioacustica/2015/LAS40-5069/20151212/LAS40-5069__0__20151212_014000.wav",0.8921937,0.8160186,0.2475635,0.9964483,0.000000000,0.6179264,0.020681392,0.002308309,0.2905532,0.4207714,0.48554223,0.9319094,0.8971042,0.8972040,0.7897312,0.7449251,0.7858154,0.7117819,0.77012512,0.82719645,1, 1,"g","LAS40-5069__0_",   8.433284,   9.025473,   9.476409,   9.446670,   9.901162,  10.559121,  10.000000,"1"
