"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS","Hidalgo_cluster"
"4787","/home/david/Música/Bioacustica/2015/5072/20151212/POLO5072__0__20151212_002000.wav",0.8881772,0.8621036,0.3371984,0.9917015,0.000000000,0.6609897,0.043710611,0.001511647,0.2800116,0.5899274,0.64695043,0.9001206,0.8751808,0.87435883,0.862816236,0.89979144,0.84577650,0.78544777,0.80035950,0.84517337,1, 0,"g","2/POLO5072__0_",   7.741023,   8.257355,   8.636069,   8.615386,   8.990896,   9.605453,   1.000000,"1"
"4788","/home/david/Música/Bioacustica/2015/5072/20151212/POLO5072__0__20151212_003000.wav",0.8890016,0.9270342,0.3352720,0.9923817,0.000000000,0.6647887,0.038830308,0.001465001,0.2822012,0.5810463,0.63238471,0.9119099,0.8809089,0.88647224,0.880838820,0.90740217,0.79330836,0.73120517,0.79331302,0.86539089,1, 0,"g","2/POLO5072__0_",   7.728759,   8.258870,   8.632876,   8.614159,   8.987057,   9.590587,   2.000000,"1"
"4789","/home/david/Música/Bioacustica/2015/5072/20151212/POLO5072__0__20151212_004000.wav",0.8881638,0.8787945,0.3369268,0.9921928,0.000000000,0.6647344,0.039715458,0.002977134,0.2778896,0.5812814,0.53672180,0.9344378,0.7668258,0.76837438,0.846660705,0.88015757,0.81735064,0.75392223,0.81758074,0.92756073,1, 0,"g","2/POLO5072__0_",   6.950297,   7.525295,   7.894795,   7.849365,   8.277327,   8.898956,   3.000000,"2"
"4790","/home/david/Música/Bioacustica/2015/5072/20151212/POLO5072__0__20151212_005000.wav",0.8894448,0.9066671,0.3357016,0.9941030,0.000000000,0.6655281,0.030631559,0.002239167,0.2844673,0.5612215,0.54835884,0.9443871,0.9382057,0.89635904,0.870997121,0.90668168,0.77419154,0.69524669,0.76976747,0.80456208,1, 0,"g","2/POLO5072__0_",   7.549277,   8.171972,   8.558272,   8.572509,   8.944236,   9.564841,   4.000000,"1"
"4791","/home/david/Música/Bioacustica/2015/5072/20151212/POLO5072__0__20151212_011000.wav",0.8893613,0.8532876,0.3324485,0.9938114,0.000000000,0.6669665,0.033442988,0.013631964,0.2821463,0.5611439,0.61283715,0.9061661,0.8450394,0.85376393,0.850689433,0.80107041,0.79216965,0.68907919,0.71073335,0.79567117,1, 1,"g","2/POLO5072__0_",   6.925244,   7.449434,   7.835234,   7.810328,   8.203622,   8.827390,   5.000000,"2"
"4792","/home/david/Música/Bioacustica/2015/5072/20151212/POLO5072__0__20151212_012000.wav",0.8892737,0.9017232,0.3349580,0.9922333,0.000000000,0.6642536,0.040330403,0.001621684,0.2770153,0.5764577,0.60803200,0.9316747,0.8716186,0.82103738,0.895060824,0.88409550,0.81044258,0.70772102,0.88542182,0.91990517,1, 1,"g","2/POLO5072__0_",   7.717544,   8.249524,   8.616408,   8.606146,   8.973002,   9.564841,   6.000000,"1"
"4793","/home/david/Música/Bioacustica/2015/5072/20151212/POLO5072__0__20151212_013000.wav",0.8889484,0.8845796,0.3346184,0.9931490,0.000000000,0.6677842,0.036409580,0.006228320,0.2779854,0.5691950,0.62946196,0.9304453,0.9226482,0.84117327,0.871086952,0.88209757,0.82256391,0.74244821,0.84667932,0.88336779,1, 1,"g","2/POLO5072__0_",   7.735390,   8.256395,   8.634153,   8.614700,   8.987057,   9.605453,   7.000000,"1"
"4794","/home/david/Música/Bioacustica/2015/5072/20151212/POLO5072__0__20151212_014000.wav",0.8895415,0.7918220,0.3329272,0.9916125,0.000000000,0.6624840,0.041325112,0.000919097,0.2705495,0.5785846,0.32495351,0.9044102,0.8945996,0.89726614,0.908670947,0.91113234,0.75515631,0.67074658,0.85069337,0.90246548,1, 1,"g","2/POLO5072__0_",   6.949011,   7.517644,   7.919852,   7.872137,   8.313680,   8.963135,   8.000000,"2"
"4795","/home/david/Música/Bioacustica/2015/5072/20151212/POLO5072__0__20151212_020000.wav",0.8898469,0.8781868,0.3319980,0.9942649,0.000000000,0.6666619,0.031305666,0.003745945,0.2815526,0.5520224,0.43375492,0.9346475,0.8832806,0.84666624,0.875188325,0.91206002,0.75091041,0.74629651,0.86081651,0.90761102,1, 2,"g","2/POLO5072__0_",   7.000172,   7.558531,   7.999947,   7.919475,   8.408822,   9.184834,   9.000000,"2"
"4796","/home/david/Música/Bioacustica/2015/5072/20151212/POLO5072__0__20151212_021000.wav",0.8901340,0.8560156,0.3357237,0.9929667,0.000000000,0.6695204,0.035321443,0.004949326,0.2754568,0.5708708,0.62169095,0.9251808,0.9225651,0.92272293,0.879970907,0.90964405,0.75337716,0.73284064,0.85739210,0.88424382,1, 2,"g","2/POLO5072__0_",   7.672633,   8.210556,   8.605024,   8.595589,   8.964607,   9.615398,  10.000000,"1"
"4797","/home/david/Música/Bioacustica/2015/5072/20151212/POLO5072__0__20151212_022000.wav",0.8887593,0.9318414,0.3400047,0.9923638,0.000000000,0.6684462,0.036275824,0.001869081,0.2708013,0.5782802,0.60243255,0.9065856,0.8781869,0.85179239,0.924098940,0.89118816,0.80038886,0.71421310,0.86957158,0.90012403,1, 2,"g","2/POLO5072__0_",   7.723283,   8.249524,   8.626075,   8.612905,   8.983792,   9.590587,  11.000000,"1"
"4798","/home/david/Música/Bioacustica/2015/5072/20151212/POLO5072__0__20151212_023000.wav",0.8894795,0.9285831,0.3425473,0.9903867,0.000000000,0.6689270,0.042006585,0.004040720,0.2645386,0.5886331,0.35830327,0.9344198,0.7818480,0.79258071,0.878543239,0.92927784,0.76499876,0.67666521,0.91269603,0.92003653,1, 2,"g","2/POLO5072__0_",   6.950297,   7.522551,   7.895575,   7.854445,   8.276775,   8.885643,  12.000000,"2"
"4799","/home/david/Música/Bioacustica/2015/5072/20151212/POLO5072__0__20151212_025000.wav",0.8892877,0.9301453,0.3425252,0.9914874,0.000000000,0.6667715,0.038325720,0.000896246,0.2676628,0.5810913,0.35228059,0.9492874,0.9003188,0.90342828,0.915329252,0.92767272,0.79288936,0.72316288,0.88237999,0.92324617,1, 2,"g","2/POLO5072__0_",   6.968655,   7.514177,   7.906862,   7.856806,   8.277327,   8.945441,  13.000000,"2"
