"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS"
"16607","/media/microp/DavidDD/bioacustica/2016/302151/20161221/POLO-302151__0__20161221_000000.wav",0.8954516,0.8672823,0.4673040,0.966324525,0.018404908,0.6482800,0.029464545,0.001836141,0.37729081,0.55252340,0.5878950,0.9209630,0.945028584,0.86773848,0.896950533,0.81033849,0.77863936,0.53646789,0.87749322,0.91212433,1, 0,"g","OLO-302151__0_",   6.983075,   9.185590,   9.444996,   9.651090,  10.042460,  10.678641,   1.000000
"16608","/media/microp/DavidDD/bioacustica/2016/302151/20161221/POLO-302151__0__20161221_001000.wav",0.8954883,0.9084059,0.4531234,0.980695730,0.003067485,0.6529101,0.028795098,0.001952452,0.38689917,0.55919213,0.5834753,0.8750700,0.881452058,0.80706875,0.810283266,0.80420961,0.74737854,0.53787947,0.88328705,0.89455450,1, 0,"g","OLO-302151__0_",   8.737868,   9.324649,   9.686434,   9.705869,  10.084652,  10.698615,   2.000000
"16609","/media/microp/DavidDD/bioacustica/2016/302151/20161221/POLO-302151__0__20161221_002000.wav",0.8944749,0.9146182,0.4588978,0.906202983,0.125766871,0.6580916,0.063775603,0.000868575,0.36099757,0.72438003,0.5505031,0.9272337,0.934141036,0.84907441,0.869873322,0.73438879,0.64657347,0.59861004,0.90838119,0.94285413,1, 0,"g","OLO-302151__0_",   6.084216,   7.100187,   8.178152,   7.957221,   9.431276,  10.318034,   3.000000
"16610","/media/microp/DavidDD/bioacustica/2016/302151/20161221/POLO-302151__0__20161221_004000.wav",0.8951551,0.9109741,0.4421957,0.981204783,0.039877301,0.6385338,0.027250433,0.002163795,0.37933991,0.58211251,0.5354916,0.9028386,0.847248343,0.85285459,0.704367561,0.81137556,0.74581318,0.65888866,0.81371796,0.95175138,1, 0,"g","OLO-302151__0_",   6.418222,   8.929430,   9.177127,   9.537610,   9.945352,  10.604193,   4.000000
"16611","/media/microp/DavidDD/bioacustica/2016/302151/20161221/POLO-302151__0__20161221_005000.wav",0.8926448,0.9011384,0.4366306,0.953171692,0.092024540,0.6371785,0.040858718,0.004395658,0.36529374,0.67901859,0.6633193,0.8806154,0.910426779,0.88687568,0.749386715,0.76876648,0.68967066,0.61198133,0.83719669,0.91093232,1, 0,"g","OLO-302151__0_",   8.812587,   9.353523,   9.729731,   9.714606,  10.093573,  10.703773,   5.000000
"16612","/media/microp/DavidDD/bioacustica/2016/302151/20161221/POLO-302151__0__20161221_010000.wav",0.8949660,0.8743333,0.4684779,0.967928049,0.033742331,0.6502263,0.036766524,0.001521546,0.37476499,0.63590718,0.6200790,0.9488314,0.929097671,0.88013230,0.785065692,0.78482488,0.68907845,0.60108249,0.89762806,0.93051403,1, 1,"g","OLO-302151__0_",   8.757426,   9.343782,   9.693868,   9.709791,  10.086204,  10.700174,   6.000000
"16613","/media/microp/DavidDD/bioacustica/2016/302151/20161221/POLO-302151__0__20161221_011000.wav",0.8954401,0.8724970,0.4572192,0.983485042,0.061349693,0.6267833,0.029544142,0.001909284,0.37961533,0.62500900,0.6719007,0.9400867,0.955325363,0.83399250,0.688116711,0.77997242,0.67987420,0.58667404,0.86590512,0.91064761,1, 1,"g","OLO-302151__0_",   8.825308,   9.354699,   9.732063,   9.714606,  10.093573,  10.703773,   7.000000
"16614","/media/microp/DavidDD/bioacustica/2016/302151/20161221/POLO-302151__0__20161221_012000.wav",0.8941571,0.9372793,0.4463121,0.969915292,0.052147239,0.6311585,0.037231953,0.001750753,0.37641891,0.68844808,0.6807652,0.9616489,0.934530771,0.83679419,0.710639173,0.74892268,0.65553808,0.62484882,0.88601989,0.92663411,1, 1,"g","OLO-302151__0_",   8.825308,   9.354699,   9.732063,   9.714606,  10.093573,  10.703773,   8.000000
"16615","/media/microp/DavidDD/bioacustica/2016/302151/20161221/POLO-302151__0__20161221_013000.wav",0.8936680,0.8805767,0.4600758,0.945320723,0.138036810,0.6347583,0.044227189,0.001939816,0.36236717,0.69866736,0.6611146,0.8935183,0.918099134,0.85388905,0.669462614,0.74969541,0.69783966,0.66302086,0.86132563,0.93421730,1, 1,"g","OLO-302151__0_",   8.771778,   9.349527,   9.713916,   9.713349,  10.093573,  10.698615,   9.000000
"16616","/media/microp/DavidDD/bioacustica/2016/302151/20161221/POLO-302151__0__20161221_020000.wav",0.8955038,0.8924179,0.4562583,0.982476889,0.027607362,0.6434470,0.021814773,0.009063292,0.36789309,0.59076400,0.7030607,0.8865515,0.888344393,0.82068807,0.630318178,0.74203195,0.72810082,0.64030602,0.84424007,0.93241829,1, 2,"g","OLO-302151__0_",   8.571680,   9.301229,   9.627944,   9.699611,  10.085560,  10.703773,  10.000000
