"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS","Hidalgo_cluster"
"33161","/media/microp/DavidDD/bioacustica/2017/5071/20170510/SM3-5071__0__20170510_000000.wav",0.8886598,0.9001439,0.4243265,0.9438319,0.159509202,0.6770610,0.310574138,0.000089300,0.095432378,0.4892793,0.3866042,0.96698231,0.937390465,0.959539328,0.9371651,0.9421428,0.8702247,0.8457319,0.9375719,0.9674055,1, 0,"c","0/SM3-5071__0_",   4.170543,   4.648207,   6.665900,   6.772221,   8.581891,   9.578434,   1.000000,"1"
"33162","/media/microp/DavidDD/bioacustica/2017/5071/20170510/SM3-5071__0__20170510_001000.wav",0.8892350,0.9685855,0.4218224,0.9529176,0.000000000,0.6701844,0.267543713,0.000078200,0.099665988,0.4903171,0.3732911,0.96820851,0.965710471,0.962364029,0.9781013,0.9413583,0.8996131,0.8454500,0.9050304,0.9579909,1, 0,"c","0/SM3-5071__0_",   8.098429,   8.684767,   9.104323,   9.096322,   9.536826,  10.171107,   2.000000,"1"
"33163","/media/microp/DavidDD/bioacustica/2017/5071/20170510/SM3-5071__0__20170510_002000.wav",0.8892979,0.9683924,0.4209660,0.9568341,0.000000000,0.6720235,0.257450534,0.000670445,0.100031163,0.4893622,0.3647175,0.93645412,0.936000094,0.947058152,0.9440284,0.9256425,0.8840020,0.8217125,0.9094822,0.9627197,1, 0,"c","0/SM3-5071__0_",   7.961810,   8.652212,   9.063193,   9.090420,   9.530662,  10.164725,   3.000000,"1"
"33164","/media/microp/DavidDD/bioacustica/2017/5071/20170510/SM3-5071__0__20170510_003000.wav",0.8880922,0.9684668,0.4248767,0.9585622,0.000000000,0.6727828,0.249892407,0.000088700,0.099996647,0.4907153,0.3611126,0.96784716,0.960779718,0.945641500,0.9415580,0.9420679,0.8953613,0.8688627,0.9341719,0.9482859,1, 0,"c","0/SM3-5071__0_",   8.148270,   8.691316,   9.122023,   9.101072,   9.540738,  10.171107,   4.000000,"1"
"33165","/media/microp/DavidDD/bioacustica/2017/5071/20170510/SM3-5071__0__20170510_004000.wav",0.8892821,0.9682960,0.4244494,0.9566981,0.000000000,0.6694205,0.240735186,0.000099900,0.099612978,0.4905171,0.3578389,0.94987147,0.927899176,0.965461261,0.9336556,0.9450809,0.9008212,0.8282063,0.8599844,0.9642238,1, 0,"c","0/SM3-5071__0_",   7.932755,   8.646960,   9.033589,   9.075160,   9.533329,  10.171107,   5.000000,"1"
"33166","/media/microp/DavidDD/bioacustica/2017/5071/20170510/SM3-5071__0__20170510_005000.wav",0.8891241,0.9673564,0.4205651,0.9637112,0.000000000,0.6712604,0.235867143,0.000121906,0.102512818,0.4905364,0.3652899,0.93302775,0.949383803,0.949202065,0.9550725,0.9336874,0.8734400,0.8861366,0.9114568,0.9537604,1, 0,"c","0/SM3-5071__0_",   8.148270,   8.691316,   9.122023,   9.101072,   9.540738,  10.171107,   6.000000,"1"
"33167","/media/microp/DavidDD/bioacustica/2017/5071/20170510/SM3-5071__0__20170510_010000.wav",0.8881901,0.9686894,0.4226040,0.9587220,0.000000000,0.6680930,0.254659033,0.000087900,0.101229657,0.4909300,0.3672505,0.94841605,0.959092145,0.967146302,0.9309994,0.9768962,0.9137853,0.8740149,0.8961327,0.9404763,1, 1,"c","0/SM3-5071__0_",   6.705744,   8.534965,   8.863603,   9.032373,   9.503195,  10.195968,   7.000000,"1"
"33168","/media/microp/DavidDD/bioacustica/2017/5071/20170510/SM3-5071__0__20170510_011000.wav",0.8905881,0.9691373,0.4230601,0.9585637,0.000000000,0.6723779,0.265184639,0.000081800,0.102249309,0.4909660,0.3772841,0.97138202,0.948890893,0.945762083,0.9390130,0.9266851,0.9078004,0.8412688,0.9032302,0.9501433,1, 1,"c","0/SM3-5071__0_",   8.148270,   8.691316,   9.122023,   9.101072,   9.540738,  10.171107,   8.000000,"1"
"33169","/media/microp/DavidDD/bioacustica/2017/5071/20170510/SM3-5071__0__20170510_012000.wav",0.8886660,0.9688851,0.4234206,0.9542100,0.000000000,0.6755302,0.287081965,0.000075200,0.100007017,0.4913041,0.3889219,0.92791249,0.956801825,0.968611316,0.9713576,0.9123447,0.8831830,0.8573330,0.9071516,0.9287744,1, 1,"c","0/SM3-5071__0_",   7.926474,   8.645037,   9.036910,   9.091588,   9.519662,  10.182226,   9.000000,"1"
"33170","/media/microp/DavidDD/bioacustica/2017/5071/20170510/SM3-5071__0__20170510_013000.wav",0.8898091,0.9687047,0.4213916,0.9612065,0.000000000,0.6743541,0.236551242,0.000083800,0.102027916,0.4909458,0.3705116,0.95949030,0.950673442,0.915607423,0.9860233,0.9122296,0.8858864,0.8553608,0.9083270,0.9700162,1, 1,"c","0/SM3-5071__0_",   7.034858,   8.519283,   8.891455,   9.056490,   9.538377,  10.185075,  10.000000,"1"
