users,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
APP-4paAElKxKn3p4fRuaN5TxX4ZittKe2fd5036b4eb68a9e929c6acd26bad1e,session_start,screen_view,app_open,login,user_engagement,screen_view,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,button_test_ios,button_clicked,button_test_ios,button_clicked,button_test_ios,button_clicked,button_test_ios,button_clicked,user_engagement,button_test_ios,button_clicked,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,button_test_ios,button_clicked,button_test_ios,button_clicked,hamburger_menu_clicked,video_play,user_engagement,video_closed,menu_item_clicked,video_play,video_closed,hamburger_menu_clicked,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-6N8ZZp07QsnSwnuiU74DVB3AhSBw4bb4baa4352e470897493cecd42a6c95,session_start,screen_view,app_update,os_update,app_open,login,user_engagement,screen_view,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-6TVqJfAh3Ukyc43QfM2O6qeoFYEk27bfda35fc4b5ce28dcab75b01d8dcb5,session_start,screen_view,app_open,login,user_engagement,screen_view,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-7i2ZSuTJHXa62pTttvvMmqVPSMHdb55ba5cc4c5cc5845988d1582ed9712a,session_start,screen_view,app_open,login,user_engagement,screen_view,user_engagement,session_start,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-8F5mnhaJHjBBjA6TN5DFVCqWloIBab91f9a8d6777e094b9c3ee3d2d525e1,login,user_engagement,screen_view,button_test_ios,button_clicked,video_play,user_engagement,video_manual_completed,video_completed,button_test_ios,button_clicked,video_play,video_manual_completed,video_completed,button_test_ios,button_clicked,video_play,user_engagement,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,button_test_ios,button_clicked,button_test_ios,button_clicked,hamburger_menu_clicked,menu_item_clicked,first_visit,session_start,page_view,user_engagement,hamburger_menu_clicked,menu_item_clicked,first_visit,session_start,scroll,hamburger_menu_clicked,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-8Iyr3IHliWVYSyqwWJ3NZcuIZr05f3c1cd37c0ab7193cccaaf4f63a3b1f7,session_start,screen_view,app_update,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-8Y222DEmA5puChSrca4uyEzN1ebM1fa76b5529520fbdbbfb7f037413e513,login,user_engagement,screen_view,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_closed,user_engagement,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,button_test_ios,button_clicked,first_visit,session_start,page_view,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-8vuKb5jnUnWmU5PRE1pr20d8b8m47072f7478f9e5df5706f689640855b13,login,user_engagement,screen_view,button_test_ios,button_clicked,video_play,video_manual_completed,video_completed,button_test_ios,button_clicked,video_play,video_manual_completed,video_completed,button_test_ios,button_clicked,first_visit,session_start,page_view,user_engagement,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_perc_completed,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-AWRGl5LNsG1LtaSERxcTYY5POJFEc6c2b9952b00ccabd63d80c07c21e658,login,user_engagement,screen_view,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,user_engagement,session_start,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-Amyo1Z6vLFyyoAZTefYZiH1cmUhv5707925ba219bc3d1af3b085a07aad83,session_start,screen_view,app_open,login,user_engagement,screen_view,user_engagement,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-BEMQXagX77kZXB4lwZUYwWEax6Zma116748c39490e397465896b887cc664,session_start,screen_view,app_open,login,screen_view,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-DnQFm5d0gU9oYNwr3JFRxSevM0EG4de38417c90358d446b04852fa67c9c5,login,user_engagement,screen_view,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_perc_completed,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
